Player,Squad,Pos,Saves,GoalsConceded,SoT,Cmp%,Tkl,Blocks,Int,DuelsTotal,DuelsWon,DrbAttempts,DrbSucc,Fld,season
P. Jones,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
David de Gea,Manchester United,GK,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Alex Telles,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
W. Fish,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Elyh Harrison,Manchester United,GK,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Sonny Aljofree,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Logan Pye,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
M. Oyedele,Manchester United,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Noam Fritz Emeran,Manchester United,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
C. McNeill,Manchester United,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
José Mateo Mejía Piedrahita,Manchester United,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
T. Mengi,Manchester United,DF,0,0,4,,54,27,57,223,128,10,7,7,2023-24
V. Lindelöf,Manchester United,DF,0,0,4,41.0,15,9,12,85,35,1,1,2,2023-24
H. Mejbri,Manchester United,MF,0,0,1,,3,1,0,29,13,3,2,6,2023-24
A. Garnacho,Manchester United,FW,0,0,28,,22,2,18,318,130,111,48,54,2023-24
A. Elanga,Manchester United,FW,0,0,23,,33,2,8,233,104,70,28,26,2023-24
D. Henderson,Manchester United,GK,58,30,0,,1,0,0,8,7,0,0,2,2023-24
T. Heaton,Manchester United,GK,0,0,0,,0,0,0,0,0,0,0,0,2023-24
A. Bayındır,Manchester United,GK,0,0,0,,0,0,0,0,0,0,0,0,2023-24
T. Malacia,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
H. Maguire,Manchester United,DF,0,0,3,41.0,24,24,25,156,103,2,0,10,2023-24
L. Shaw,Manchester United,DF,0,0,0,,11,11,6,73,34,11,7,3,2023-24
H. Amass,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Diogo Dalot,Manchester United,DF,0,0,7,,81,16,37,278,158,49,31,14,2023-24
Lisandro Martínez,Manchester United,DF,0,0,0,,12,8,5,43,21,3,2,3,2023-24
Bruno Fernandes,Manchester United,MF,0,0,41,43.0,68,6,27,316,136,40,19,28,2023-24
M. Mount,Manchester United,MF,0,0,1,,22,1,6,82,41,10,4,9,2023-24
K. Mainoo,Manchester United,MF,0,0,5,,47,12,22,228,120,53,31,23,2023-24
Casemiro,Manchester United,MF,0,0,9,46.0,83,33,17,276,144,17,9,10,2023-24
J. Sancho,Manchester United,FW,0,0,0,,1,0,1,16,6,6,3,2,2023-24
A. Diallo,Manchester United,FW,0,0,4,,10,1,1,65,29,21,11,4,2023-24
Antony,Manchester United,FW,0,0,16,,40,1,12,211,100,59,26,32,2023-24
R. Højlund,Manchester United,FW,0,0,21,,11,1,1,223,84,36,18,30,2023-24
Matheus Cunha,Manchester United,FW,0,0,38,,30,7,13,373,160,125,64,50,2023-24
A. Wan-Bissaka,Manchester United,DF,0,0,1,,42,15,41,150,89,26,17,9,2023-24
A. Martial,Manchester United,FW,0,0,4,,4,0,0,53,20,4,2,6,2023-24
O. Forson,Manchester United,FW,0,0,0,,2,0,0,7,3,2,1,0,2023-24
R. Varane,Manchester United,DF,0,0,2,,18,18,15,63,43,2,1,3,2023-24
Reguilón,Manchester United,DF,0,0,2,,45,6,16,148,87,24,13,15,2023-24
M. Greenwood,Manchester United,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Marc Jurado,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Louis Jackson,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Dermot William Mee,Manchester United,GK,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Willy Kambwala Ndengushi,Manchester United,DF,0,0,0,,3,3,4,22,11,2,0,2,2023-24
H. Ogunneye,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
B. Williams,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
J. Hugill,Manchester United,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Tobias Christopher Collyer,Manchester United,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Daniel Gore,Manchester United,MF,0,0,0,,1,0,1,2,2,0,0,1,2023-24
C. Savage,Manchester United,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
N. Bishop,Manchester United,GK,0,0,0,,0,0,0,0,0,0,0,0,2023-24
R. Vítek,Manchester United,GK,0,0,0,,0,0,0,0,0,0,0,0,2023-24
E. Wheatley,Manchester United,FW,0,0,0,,1,0,2,6,1,0,0,0,2023-24
J. Evans,Manchester United,DF,0,0,0,,22,18,23,124,75,6,4,13,2023-24
R. Bennett,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
S. Shoretire,Manchester United,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
F. Pellistri,Manchester United,MF,0,0,2,,5,1,1,40,22,9,5,6,2023-24
D. van de Beek,Manchester United,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
E. Bailly,Manchester United,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
M. Rashford,Manchester United,FW,0,0,21,,19,1,4,249,103,101,48,21,2023-24
M. Longstaff,Newcastle,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Remmi Eugene Savage,Newcastle,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
