Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Ben Alexander Voll,de GER,GK,St Pauli,23,2000,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Noah Atubolu,de GER,GK,Freiburg,22,2002,25.6,37,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28.0,53,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Finn Dahmen,de GER,GK,Augsburg,26,1998,19.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Patrick Drewes,de GER,GK,Bochum,31,1993,21.0,46,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Frank Feller,de GER,GK,Heidenheim,20,2004,1.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,28.7,49,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,29.2,39,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Timo Horn,de GER,GK,Bochum,31,1993,13.0,22,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,1989,29.0,38,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Gregor Kobel,ch SUI,GK,Dortmund,26,1997,32.0,47,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Matej Kovar,cz CZE,GK,Leverkusen,24,2000,5.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Nediljko Labrović,hr CRO,GK,Augsburg,24,1999,15.0,32,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Alexander Meyer,de GER,GK,Dortmund,33,1991,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Florian Müller,de GER,GK,Freiburg,26,1997,8.4,16,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Kevin Müller,de GER,GK,Heidenheim,33,1991,32.7,64,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Marius Müller,de GER,GK,Wolfsburg,31,1993,5.3,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Manuel Neuer,de GER,GK,Bayern Munich,38,1986,22.0,15,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Moritz Nicolas,de GER,GK,Gladbach,26,1997,18.2,25,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Alexander Nübel,de GER,GK,Stuttgart,27,1996,34.0,53,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Jonas Omlin,ch SUI,GK,Gladbach,30,1994,10.9,29,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Daniel Peretz,il ISR,GK,Bayern Munich,24,2000,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Luca Philipp,de GER,GK,Hoffenheim,23,2000,6.0,15,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Lasse Rieß,de GER,GK,Mainz 05,23,2001,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Frederik Rønnow,dk DEN,GK,Union Berlin,31,1992,28.0,37,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Kauã Santos,br BRA,GK,Eintracht Frankfurt,21,2003,8.5,12,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Alexander Schwolow,de GER,GK,Union Berlin,32,1992,6.0,13,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Tobias Sippel,de GER,GK,Gladbach,36,1988,0.7,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Kevin Trapp,de GER,GK,Eintracht Frankfurt,34,1990,25.5,34,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Sven Ulreich,de GER,GK,Bayern Munich,35,1988,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Jonas Urbig,de GER,GK,Bayern Munich,20,2003,8.0,12,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Maarten Vandevoordt,be BEL,GK,RB Leipzig,22,2002,4.8,9,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Nikola Vasilj,ba BIH,GK,St Pauli,28,1995,33.0,39,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25.0,61,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Robin Zentner,de GER,GK,Mainz 05,29,1994,32.0,41,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Michael Zetterer,de GER,GK,Werder Bremen,29,1995,34.0,57,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
