Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23,2001,17.2,,,,,,,,,,,,,,,2,,,,,,Matches
2,Karim Adeyemi,de GER,"MF,FW",Dortmund,22,2002,15.9,,,,,,,,,,,,,,,6,,,,,,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24,2000,8.5,,,,,,,,,,,,,,,0,,,,,,Matches
4,Oladapo Afolayan,eng ENG,"FW,MF",St Pauli,26,1998,18.2,,,,,,,,,,,,,,,1,,,,,,Matches
5,Felix Agu,ng NGA,MF,Werder Bremen,24,1999,19.5,,,,,,,,,,,,,,,0,,,,,,Matches
6,Erik Ahlstrand,se SWE,MF,St Pauli,22,2001,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29,1995,24.7,,,,,,,,,,,,,,,0,,,,,,Matches
8,Andreas Albers,dk DEN,"FW,MF",St Pauli,34,1990,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
9,Ben Alexander Voll,de GER,GK,St Pauli,23,2000,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
10,Skelly Alvero,fr FRA,MF,Werder Bremen,22,2002,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
11,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,21,2003,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,27,1996,27.5,,,,,,,,,,,,,,,5,,,,,,Matches
13,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24,2000,27.4,,,,,,,,,,,,,,,9,,,,,,Matches
14,Robert Andrich,de GER,"MF,DF",Leverkusen,29,1994,17.8,,,,,,,,,,,,,,,2,,,,,,Matches
15,Waldemar Anton,de GER,DF,Dortmund,28,1996,21.7,,,,,,,,,,,,,,,2,,,,,,Matches
16,Maximilian Arnold,de GER,MF,Wolfsburg,30,1994,26.2,,,,,,,,,,,,,,,5,,,,,,Matches
17,Jann-Fiete Arp,de GER,FW,Holstein Kiel,24,2000,7.9,,,,,,,,,,,,,,,0,,,,,,Matches
18,Arthur,br BRA,"MF,DF",Leverkusen,21,2003,8.4,,,,,,,,,,,,,,,1,,,,,,Matches
19,Noah Atubolu,de GER,GK,Freiburg,22,2002,25.6,,,,,,,,,,,,,,,0,,,,,,Matches
20,Ayman Azhil,ma MAR,MF,Dortmund,23,2001,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
21,Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
22,Aliou Badara Baldé,gn GUI,FW,Bochum,21,2002,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
23,Ridle Baku,de GER,MF,RB Leipzig,26,1998,14.2,,,,,,,,,,,,,,,3,,,,,,Matches
24,Ridle Baku,de GER,MF,Wolfsburg,26,1998,13.0,,,,,,,,,,,,,,,1,,,,,,Matches
25,Samuel Bamba,de GER,FW,Bochum,20,2004,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
26,Noahkai Banks,us USA,DF,Augsburg,17,2006,3.1,,,,,,,,,,,,,,,0,,,,,,Matches
27,Scott Banks,sct SCO,MF,St Pauli,22,2001,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
28,Aymen Barkok,ma MAR,MF,Mainz 05,26,1998,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
29,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,30,1993,3.3,,,,,,,,,,,,,,,0,,,,,,Matches
30,Maximilian Bauer,de GER,DF,Augsburg,24,2000,7.3,,,,,,,,,,,,,,,0,,,,,,Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28.0,,,,,,,,,,,,,,,0,,,,,,Matches
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,24,1999,17.9,,,,,,,,,,,,,,,1,,,,,,Matches
33,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,30,1994,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
34,Adrian Beck,de GER,"MF,FW",Heidenheim,27,1997,17.8,,,,,,,,,,,,,,,1,,,,,,Matches
35,Timo Becker,de GER,"DF,MF",Holstein Kiel,27,1997,27.2,,,,,,,,,,,,,,,2,,,,,,Matches
36,Hannes Behrens,de GER,DF,Hoffenheim,19,2005,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
37,Kevin Behrens,de GER,FW,Wolfsburg,33,1991,1.9,,,,,,,,,,,,,,,0,,,,,,Matches
38,Maximilian Beier,de GER,"MF,FW",Dortmund,21,2002,17.7,,,,,,,,,,,,,,,5,,,,,,Matches
39,Stefan Bell,de GER,DF,Mainz 05,32,1991,16.0,,,,,,,,,,,,,,,1,,,,,,Matches
40,Jeanuël Belocian,fr FRA,DF,Leverkusen,19,2005,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
41,László Bénes,sk SVK,"MF,FW",Union Berlin,26,1997,6.5,,,,,,,,,,,,,,,1,,,,,,Matches
42,Ramy Bensebaini,dz ALG,DF,Dortmund,29,1995,22.5,,,,,,,,,,,,,,,6,,,,,,Matches
43,Mergim Berisha,de GER,FW,Hoffenheim,26,1998,3.7,,,,,,,,,,,,,,,1,,,,,,Matches
44,Mergim Berisha,de GER,FW,Augsburg,26,1998,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
45,Bernardo,br BRA,DF,Bochum,29,1995,19.8,,,,,,,,,,,,,,,0,,,,,,Matches
46,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,25,1998,14.0,,,,,,,,,,,,,,,2,,,,,,Matches
47,Matúš Bero,sk SVK,MF,Bochum,28,1995,28.5,,,,,,,,,,,,,,,2,,,,,,Matches
48,Jan-Niklas Beste,de GER,"DF,MF",Freiburg,25,1999,2.4,,,,,,,,,,,,,,,1,,,,,,Matches
