Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,,,,,,,,,,,,,,,,,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,,,,,,,,,,,,,,,,,Matches
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,,,,,,,,,,,,,,,,,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18.0,,,,,,,,,,,,,,,,,Matches
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,,,,,,,,,,,,,,,,,Matches
6,Simon Adingra,ci CIV,MF,Brighton,21,2002,24.7,,,,,,,,,,,,,,,,,Matches
7,Nayef Aguerd,ma MAR,DF,West Ham United,27,1996,20.6,,,,,,,,,,,,,,,,,Matches
8,Brandon Aguilera,cr CRC,MF,Nottingham Forest,20,2003,0.1,,,,,,,,,,,,,,,,,Matches
9,Naouirou Ahamada,fr FRA,MF,Crystal Palace,21,2002,3.9,,,,,,,,,,,,,,,,,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,24,1999,29.4,,,,,,,,,,,,,,,,,Matches
11,Ola Aina,ng NGA,"DF,MF",Nottingham Forest,26,1996,18.8,,,,,,,,,,,,,,,,,Matches
12,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,22,2001,25.9,,,,,,,,,,,,,,,,,Matches
13,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,,,,,,,,,,,,,,,,,Matches
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,27.9,,,,,,,,,,,,,,,,,Matches
15,Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,,,,,,,,,,,,,,,,,Matches
16,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,,,,,,,,,,,,,,,,,Matches
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,,,,,,,,,,,,,,,,,Matches
18,Alisson,br BRA,GK,Liverpool,30,1992,28.0,,,,,,,,,,,,,,,,,Matches
19,Miguel Almirón,py PAR,FW,Newcastle United,29,1994,21.5,,,,,,,,,,,,,,,,,Matches
20,Edson Álvarez,mx MEX,MF,West Ham United,25,1997,26.4,,,,,,,,,,,,,,,,,Matches
21,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,29.4,,,,,,,,,,,,,,,,,Matches
22,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,21.7,,,,,,,,,,,,,,,,,Matches
23,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,10.4,,,,,,,,,,,,,,,,,Matches
24,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,37.9,,,,,,,,,,,,,,,,,Matches
25,Elliot Anderson,eng ENG,"MF,FW",Newcastle United,20,2002,11.4,,,,,,,,,,,,,,,,,Matches
26,Jaidon Anthony,eng ENG,MF,Bournemouth,23,1999,1.7,,,,,,,,,,,,,,,,,Matches
27,Michail Antonio,jm JAM,FW,West Ham United,33,1990,18.8,,,,,,,,,,,,,,,,,Matches
28,Antony,br BRA,MF,Manchester Utd,23,2000,14.7,,,,,,,,,,,,,,,,,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield United,19,2004,10.5,,,,,,,,,,,,,,,,,Matches
30,Cameron Archer,eng ENG,"FW,MF",Sheffield United,22,2001,20.4,,,,,,,,,,,,,,,,,Matches
31,Cameron Archer,eng ENG,"FW,MF",Aston Villa,22,2001,0.1,,,,,,,,,,,,,,,,,Matches
32,Alphonse Areola,fr FRA,GK,West Ham United,30,1993,30.0,,,,,,,,,,,,,,,,,Matches
33,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,13.7,,,,,,,,,,,,,,,,,Matches
