Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br BRA,GK,Liverpool,31,1992,27.9,29,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Alphonse Areola,fr FRA,GK,West Ham United,31,1993,25.1,41,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31.0,39,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Brandon Austin,eng ENG,GK,Tottenham Hotspur,25,1999,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Martin Dúbravka,sk SVK,GK,Newcastle United,35,1989,10.0,12,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Ederson,br BRA,GK,Manchester City,30,1993,25.8,26,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Łukasz Fabiański,pl POL,GK,West Ham United,39,1985,12.9,21,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Mark Flekken,nl NED,GK,Brentford,31,1993,36.4,55,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Fraser Forster,eng ENG,GK,Tottenham Hotspur,36,1988,7.0,15,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38.0,51,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Mads Hermansen,dk DEN,GK,Leicester City,24,2000,26.5,58,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Vitezslav Jaros,cz CZE,GK,Liverpool,23,2001,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Sam Johnstone,eng ENG,GK,Wolves,31,1993,7.0,17,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Filip Jørgensen,dk DEN,GK,Chelsea,22,2002,6.0,9,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Caoimhín Kelleher,ie IRL,GK,Liverpool,25,1998,10.0,12,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Tom King,wls WAL,GK,Wolves,29,1995,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Antonín Kinský,cz CZE,GK,Tottenham Hotspur,21,2003,6.0,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Bernd Leno,de GER,GK,Fulham,32,1992,38.0,54,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Joe Lumley,eng ENG,GK,Southampton,29,1995,3.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,35.5,47,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Alex McCarthy,eng ENG,GK,Southampton,34,1989,5.0,13,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
