Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,1.0,,,,,,,,,,,,,,,,,,,,,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,1.9,,,,,,,,,,,,,,,,,,,,,Matches
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,21.8,,,,,,,,,,,,,,,,,,,,,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,15.7,,,,,,,,,,,,,,,,,,,,,Matches
5,Simon Adingra,ci CIV,MF,Brighton,22,2002,12.2,,,,,,,,,,,,,,,,,,,,,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,15.7,,,,,,,,,,,,,,,,,,,,,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,0.1,,,,,,,,,,,,,,,,,,,,,Matches
8,Ola Aina,ng NGA,DF,Nottingham Forest,27,1996,33.3,,,,,,,,,,,,,,,,,,,,,Matches
9,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,23,2001,34.5,,,,,,,,,,,,,,,,,,,,,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,16.0,,,,,,,,,,,,,,,,,,,,,Matches
11,Manuel Akanji,ch SUI,"DF,MF",Manchester City,29,1995,22.4,,,,,,,,,,,,,,,,,,,,,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29,1995,7.5,,,,,,,,,,,,,,,,,,,,,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,0.1,,,,,,,,,,,,,,,,,,,,,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,21,2002,8.5,,,,,,,,,,,,,,,,,,,,,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,26.3,,,,,,,,,,,,,,,,,,,,,Matches
16,Alisson,br BRA,GK,Liverpool,31,1992,27.9,,,,,,,,,,,,,,,,,,,,,Matches
17,Miguel Almirón,py PAR,FW,Newcastle United,30,1994,1.7,,,,,,,,,,,,,,,,,,,,,Matches
18,Olabade Aluko,,DF,Leicester City,,,0.0,,,,,,,,,,,,,,,,,,,,,Matches
19,Edson Álvarez,mx MEX,MF,West Ham United,26,1997,19.7,,,,,,,,,,,,,,,,,,,,,Matches
20,Will Alves,eng ENG,MF,Leicester City,19,2005,0.0,,,,,,,,,,,,,,,,,,,,,Matches
21,Harry Amass,eng ENG,MF,Manchester Utd,17,2007,3.8,,,,,,,,,,,,,,,,,,,,,Matches
22,Samuel Amo-Ameyaw,eng ENG,"FW,MF",Southampton,18,2006,0.3,,,,,,,,,,,,,,,,,,,,,Matches
23,Mathis Amougou,fr FRA,MF,Chelsea,18,2006,0.1,,,,,,,,,,,,,,,,,,,,,Matches
24,Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1.0,,,,,,,,,,,,,,,,,,,,,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,28,1996,28.7,,,,,,,,,,,,,,,,,,,,,Matches
26,Elliot Anderson,eng ENG,MF,Nottingham Forest,21,2002,30.3,,,,,,,,,,,,,,,,,,,,,Matches
27,André,br BRA,MF,Wolves,23,2001,27.5,,,,,,,,,,,,,,,,,,,,,Matches
28,Michail Antonio,jm JAM,FW,West Ham United,34,1990,9.3,,,,,,,,,,,,,,,,,,,,,Matches
29,Antony,br BRA,"FW,MF",Manchester Utd,24,2000,1.6,,,,,,,,,,,,,,,,,,,,,Matches
30,Julian Araujo,mx MEX,DF,Bournemouth,22,2001,5.5,,,,,,,,,,,,,,,,,,,,,Matches
31,Cameron Archer,eng ENG,FW,Southampton,23,2001,16.0,,,,,,,,,,,,,,,,,,,,,Matches
32,Alphonse Areola,fr FRA,GK,West Ham United,31,1993,25.1,,,,,,,,,,,,,,,,,,,,,Matches
33,Joe Aribo,ng NGA,MF,Southampton,28,1996,22.4,,,,,,,,,,,,,,,,,,,,,Matches
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,,,,,,,,,,,,,,,,,,,,,Matches
35,Harrison Armstrong,eng ENG,MF,Everton,17,2007,0.5,,,,,,,,,,,,,,,,,,,,,Matches
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31.0,,,,,,,,,,,,,,,,,,,,,Matches
37,Marco Asensio,es ESP,MF,Aston Villa,28,1996,8.3,,,,,,,,,,,,,,,,,,,,,Matches
38,Brandon Austin,eng ENG,GK,Tottenham Hotspur,25,1999,1.0,,,,,,,,,,,,,,,,,,,,,Matches
39,Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,26,1997,4.6,,,,,,,,,,,,,,,,,,,,,Matches
40,Yasin Ayari,se SWE,MF,Brighton,20,2003,21.8,,,,,,,,,,,,,,,,,,,,,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,0.2,,,,,,,,,,,,,,,,,,,,,Matches
42,Jordan Ayew,gh GHA,MF,Leicester City,32,1991,18.2,,,,,,,,,,,,,,,,,,,,,Matches
43,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,3.7,,,,,,,,,,,,,,,,,,,,,Matches
44,Leon Bailey,jm JAM,MF,Aston Villa,26,1997,12.7,,,,,,,,,,,,,,,,,,,,,Matches
45,Carlos Baleba,cm CMR,MF,Brighton,20,2004,29.6,,,,,,,,,,,,,,,,,,,,,Matches
46,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,6.5,,,,,,,,,,,,,,,,,,,,,Matches
47,Harvey Barnes,eng ENG,"FW,MF",Newcastle United,26,1997,19.5,,,,,,,,,,,,,,,,,,,,,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,24,1999,34.2,,,,,,,,,,,,,,,,,,,,,Matches
49,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4.0,,,,,,,,,,,,,,,,,,,,,Matches
50,Jan Bednarek,pl POL,DF,Southampton,28,1996,28.1,,,,,,,,,,,,,,,,,,,,,Matches
51,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,3.7,,,,,,,,,,,,,,,,,,,,,Matches
52,Jean-Ricner Bellegarde,ht HAI,MF,Wolves,26,1998,18.6,,,,,,,,,,,,,,,,,,,,,Matches
53,Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,27,1997,18.3,,,,,,,,,,,,,,,,,,,,,Matches
54,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2.0,,,,,,,,,,,,,,,,,,,,,Matches
55,Sander Berge,no NOR,MF,Fulham,26,1998,24.7,,,,,,,,,,,,,,,,,,,,,Matches
