Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
1,Max Aarons,eng ENG,DF,Valencia,24,2000,1.3,,,,,,,,,,,,,,,,,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,,,,,,,,,,,,,,,,,Matches
3,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,,,,,,,,,,,,,,,,,Matches
4,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,,,,,,,,,,,,,,,,,Matches
5,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,,,,,,,,,,,,,,,,,Matches
6,Adrián,es ESP,GK,Real Betis,37,1987,19.0,,,,,,,,,,,,,,,,,Matches
7,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,,,,,,,,,,,,,,,,,Matches
8,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,,,,,,,,,,,,,,,,,Matches
9,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,,,,,,,,,,,,,,,,,Matches
10,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,,,,,,,,,,,,,,,,,Matches
11,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,,,,,,,,,,,,,,,,,Matches
12,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,,,,,,,,,,,,,,,,,Matches
13,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0.0,,,,,,,,,,,,,,,,,Matches
14,Ilias Akhomach,ma MAR,MF,Villarreal,20,2004,6.5,,,,,,,,,,,,,,,,,Matches
15,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,,,,,,,,,,,,,,,,,Matches
16,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,,,,,,,,,,,,,,,,,Matches
17,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,,,,,,,,,,,,,,,,,Matches
18,Omar Alderete,py PAR,DF,Getafe,27,1996,33.0,,,,,,,,,,,,,,,,,Matches
19,Carles Aleñá,es ESP,MF,Getafe,26,1998,5.0,,,,,,,,,,,,,,,,,Matches
20,Carles Aleñá,es ESP,MF,Alavés,26,1998,12.1,,,,,,,,,,,,,,,,,Matches
21,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,,,,,,,,,,,,,,,,,Matches
22,Tadeo Allende,ar ARG,MF,Celta Vigo,25,1999,0.0,,,,,,,,,,,,,,,,,Matches
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22.0,,,,,,,,,,,,,,,,,Matches
24,Iker Almena,es ESP,MF,Girona,20,2004,0.5,,,,,,,,,,,,,,,,,Matches
25,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,,,,,,,,,,,,,,,,,Matches
26,Adrià Altimira,es ESP,"DF,MF",Leganés,23,2001,18.1,,,,,,,,,,,,,,,,,Matches
27,Sergi Altimira,es ESP,MF,Real Betis,22,2001,21.9,,,,,,,,,,,,,,,,,Matches
28,Hugo Álvarez,es ESP,MF,Celta Vigo,21,2003,17.5,,,,,,,,,,,,,,,,,Matches
29,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,,,,,,,,,,,,,,,,,Matches
30,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,,,,,,,,,,,,,,,,,Matches
31,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,,,,,,,,,,,,,,,,,Matches
32,Amath,sn SEN,"FW,MF",Valladolid,28,1996,4.2,,,,,,,,,,,,,,,,,Matches
33,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,,,,,,,,,,,,,,,,,Matches
34,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,,,,,,,,,,,,,,,,,Matches
35,Antoniu,es ESP,MF,Espanyol,21,2002,11.4,,,,,,,,,,,,,,,,,Matches
36,Antony,br BRA,MF,Real Betis,24,2000,15.1,,,,,,,,,,,,,,,,,Matches
37,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,,,,,,,,,,,,,,,,,Matches
38,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2.0,,,,,,,,,,,,,,,,,Matches
39,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,,,,,,,,,,,,,,,,,Matches
40,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,,,,,,,,,,,,,,,,,Matches
41,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,,,,,,,,,,,,,,,,,Matches
42,Adu Ares,es ESP,MF,Athletic Club,22,2001,0.2,,,,,,,,,,,,,,,,,Matches
43,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,,,,,,,,,,,,,,,,,Matches
44,David Argüelles,es ESP,DF,Getafe,22,2002,0.1,,,,,,,,,,,,,,,,,Matches
45,José Arnaiz,es ESP,MF,Osasuna,29,1995,1.5,,,,,,,,,,,,,,,,,Matches
46,Sergio Arribas,es ESP,DF,Real Betis,21,2003,1.0,,,,,,,,,,,,,,,,,Matches
47,Takuma Asano,jp JPN,"MF,FW",Mallorca,29,1994,11.7,,,,,,,,,,,,,,,,,Matches
48,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,,,,,,,,,,,,,,,,,Matches
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,,,,,,,,,,,,,,,,,Matches
50,Yaser Asprilla,co COL,"MF,FW",Girona,20,2003,15.6,,,,,,,,,,,,,,,,,Matches
51,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,30,1994,7.5,,,,,,,,,,,,,,,,,Matches
52,Adam Aznou,ma MAR,"DF,MF",Valladolid,18,2006,9.7,,,,,,,,,,,,,,,,,Matches
53,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,,,,,,,,,,,,,,,,,Matches
54,Papa Ba,es ESP,FW,Girona,19,2004,0.5,,,,,,,,,,,,,,,,,Matches
55,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,,,,,,,,,,,,,,,,,Matches
56,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,,,,,,,,,,,,,,,,,Matches
57,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,,,,,,,,,,,,,,,,,Matches
58,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,,,,,,,,,,,,,,,,,Matches
59,Cédric Bakambu,cd COD,FW,Real Betis,33,1991,7.9,,,,,,,,,,,,,,,,,Matches
60,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,,,,,,,,,,,,,,,,,Matches
61,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,,,,,,,,,,,,,,,,,Matches
62,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,28,1996,9.0,,,,,,,,,,,,,,,,,Matches
63,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,,,,,,,,,,,,,,,,,Matches
64,Valentín Barco,ar ARG,DF,Sevilla,20,2004,3.2,,,,,,,,,,,,,,,,,Matches
65,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,,,,,,,,,,,,,,,,,Matches
66,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,,,,,,,,,,,,,,,,,Matches
67,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,,,,,,,,,,,,,,,,,Matches
68,Ander Barrenetxea,es ESP,MF,Real Sociedad,22,2001,14.0,,,,,,,,,,,,,,,,,Matches
69,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,,,,,,,,,,,,,,,,,Matches
70,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,,,,,,,,,,,,,,,,,Matches
71,Marc Bartra,es ESP,DF,Real Betis,33,1991,23.3,,,,,,,,,,,,,,,,,Matches
72,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0.0,,,,,,,,,,,,,,,,,Matches
73,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32.0,,,,,,,,,,,,,,,,,Matches
74,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2.0,,,,,,,,,,,,,,,,,Matches
75,Sheraldo Becker,sr SUR,"MF,FW",Real Sociedad,29,1995,11.1,,,,,,,,,,,,,,,,,Matches
76,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,,,,,,,,,,,,,,,,,Matches
77,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,,,,,,,,,,,,,,,,,Matches
78,Ismael Bekhoucha,ma MAR,DF,Getafe,19,2004,0.8,,,,,,,,,,,,,,,,,Matches
79,Héctor Bellerín,es ESP,DF,Real Betis,29,1995,6.4,,,,,,,,,,,,,,,,,Matches
80,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,,,,,,,,,,,,,,,,,Matches
81,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,,,,,,,,,,,,,,,,,Matches
82,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,,,,,,,,,,,,,,,,,Matches
83,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,,,,,,,,,,,,,,,,,Matches
84,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,,,,,,,,,,,,,,,,,Matches
85,Álex Berenguer,es ESP,"MF,FW",Athletic Club,29,1995,26.0,,,,,,,,,,,,,,,,,Matches
86,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,,,,,,,,,,,,,,,,,Matches
87,Juan Bernat,es ESP,DF,Villarreal,31,1993,2.4,,,,,,,,,,,,,,,,,Matches
88,Juan Bernat,es ESP,MF,Getafe,31,1993,7.8,,,,,,,,,,,,,,,,,Matches
89,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,,,,,,,,,,,,,,,,,Matches
90,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,,,,,,,,,,,,,,,,,Matches
91,Daley Blind,nl NED,DF,Girona,34,1990,30.9,,,,,,,,,,,,,,,,,Matches
92,Adama Boiro,es ESP,DF,Athletic Club,22,2002,12.2,,,,,,,,,,,,,,,,,Matches
93,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,,,,,,,,,,,,,,,,,Matches
94,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3.0,,,,,,,,,,,,,,,,,Matches
95,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18.0,,,,,,,,,,,,,,,,,Matches
96,Abel Bretones,es ESP,"DF,MF",Osasuna,23,2000,23.0,,,,,,,,,,,,,,,,,Matches
97,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,,,,,,,,,,,,,,,,,Matches
98,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,,,,,,,,,,,,,,,,,Matches
