Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,13.3,9,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,28,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Claudio Bravo,cl CHI,GK,Real Betis,40,1983,7.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,3.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Cristian,es ESP,GK,Valencia,25,1998,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37.0,47,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,13.0,25,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Jaume Doménech,es ESP,GK,Valencia,32,1990,0.9,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Aarón Escandell,es ESP,GK,Las Palmas,27,1995,1.7,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Aitor Fernández,es ESP,GK,Osasuna,32,1991,6.1,9,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Raúl Fernández,es ESP,GK,Granada,35,1988,3.1,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Fernando,es ESP,GK,Almería,33,1990,4.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,André Ferreira,pt POR,GK,Granada,27,1996,14.9,29,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Daniel Fuzato,br BRA,GK,Getafe,26,1997,0.1,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Paulo Gazzaniga,ar ARG,GK,Girona,31,1992,38.0,46,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,David Gil,es ESP,GK,Cádiz,29,1994,4.1,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Dominik Greif,sk SVK,GK,Mallorca,26,1997,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Vicente Guaita,es ESP,GK,Celta Vigo,36,1987,26.7,39,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Sergio Herrera,es ESP,GK,Osasuna,30,1993,31.9,47,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Filip Jørgensen,dk DEN,GK,Villarreal,21,2002,36.0,63,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Jeremías Ledesma,ar ARG,GK,Cádiz,30,1993,33.9,47,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Andriy Lunin,ua UKR,GK,Real Madrid,24,1999,21.0,17,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Giorgi Mamardashvili,ge GEO,GK,Valencia,22,2000,36.5,41,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Diego Mariño,es ESP,GK,Almería,33,1990,1.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Unai Marrero,es ESP,GK,Real Sociedad,21,2001,1.6,3,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Marc Martínez,es ESP,GK,Granada,33,1990,3.0,11,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Luís Maximiano,pt POR,GK,Almería,24,1999,33.0,63,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Ørjan Nyland,no NOR,GK,Sevilla,32,1990,24.0,27,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Jan Oblak,si SVN,GK,Atlético Madrid,30,1993,38.0,43,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Jesús Owono,gq EQG,GK,Alavés,22,2001,4.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Iñaki Peña,es ESP,GK,Barcelona,24,1999,10.0,17,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Predrag Rajković,rs SRB,GK,Mallorca,27,1995,36.0,43,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Pepe Reina,es ESP,GK,Villarreal,40,1982,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Álex Remiro,es ESP,GK,Real Sociedad,28,1995,36.4,36,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Rui Silva,pt POR,GK,Real Betis,29,1994,27.5,36,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Unai Simón,es ESP,GK,Athletic Club,26,1997,35.4,33,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Antonio Sivera,es ESP,GK,Alavés,26,1996,34.0,38,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,David Soria,es ESP,GK,Getafe,30,1993,37.9,52,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Marc-André ter Stegen,de GER,GK,Barcelona,31,1992,28.0,27,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Álvaro Vallés,es ESP,GK,Las Palmas,26,1997,36.3,44,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Fran Vieites,es ESP,GK,Real Betis,24,1999,3.5,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Iván Villar,es ESP,GK,Celta Vigo,26,1997,11.3,18,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
