Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
4,Abdel Abqar,ma MAR,DF,Alavés,25,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.00,0.04,0.04,0.00,0.04,Matches
6,Adrián,es ESP,GK,Real Betis,37,1987,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
8,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,35,24,2114,23.5,1,3,4,1,0,0,5,1,0.04,0.13,0.17,0.04,0.17,Matches
11,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,21,21,1760,19.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Raúl Albiol,es ESP,DF,Villarreal,38,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Omar Alderete,py PAR,DF,Getafe,27,1996,34,34,2971,33.0,1,0,1,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03,Matches
20,Carles Aleñá,es ESP,MF,Alavés,26,1998,14,13,1090,12.1,0,2,2,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
21,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,26,14,1371,15.2,5,2,7,5,0,0,1,1,0.33,0.13,0.46,0.33,0.46,Matches
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,34,24,1977,22.0,0,4,4,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches
25,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,31,29,2647,29.4,3,0,3,0,3,3,10,2,0.10,0.00,0.10,0.00,0.00,Matches
26,Adrià Altimira,es ESP,"DF,MF",Leganés,23,2001,22,19,1630,18.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
