Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15.0,26,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4.0,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Marco Bizot,nl NED,GK,Brest,32,1991,32.0,34,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Rubén Blanco,es ESP,GK,Marseille,28,1995,1.3,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Marcin Bułka,pl POL,GK,Nice,23,1999,34.0,29,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Lucas Chevalier,fr FRA,GK,Lille,21,2001,33.0,32,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Grégoire Coudert,fr FRA,GK,Brest,24,1999,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Rémy Descamps,fr FRA,GK,Nantes,27,1996,6.0,11,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33.0,43,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30.0,54,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Guillaume Dietsch,fr FRA,GK,Metz,22,2001,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Yehvann Diouf,sn SEN,GK,Reims,23,1999,34.0,47,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Gianluigi Donnarumma,it ITA,GK,Paris Saint-Germain,24,1999,24.1,20,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Mathieu Gorgelin,fr FRA,GK,Le Havre,32,1990,1.0,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Philipp Köhn,ch SUI,GK,Monaco,25,1998,22.0,32,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Alban Lafont,ci CIV,GK,Nantes,24,1999,27.7,43,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Jean-Louis Leca,fr FRA,GK,Lens,37,1985,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30.0,37,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Anthony Lopes,pt POR,GK,Lyon,32,1990,31.0,49,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Pau López,es ESP,GK,Marseille,28,1994,32.7,39,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Radosław Majecki,pl POL,GK,Monaco,23,1999,12.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Steve Mandanda,fr FRA,GK,Rennes,38,1985,34.0,46,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Vito Mannone,it ITA,GK,Lille,35,1988,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Yvon Mvogo,ch SUI,GK,Lorient,29,1994,34.0,66,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Keylor Navas,cr CRC,GK,Paris Saint-Germain,36,1986,4.0,6,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Massamba Ndiaye,sn SEN,GK,Clermont Foot,21,2001,4.0,6,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Alexandre Oukidja,dz ALG,GK,Metz,35,1988,33.2,57,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Denis Petrić,rs SRB,GK,Nantes,35,1988,0.3,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Guillaume Restes,fr FRA,GK,Toulouse,18,2005,34.0,46,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Rémy Riou,fr FRA,GK,Lyon,35,1987,3.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Brice Samba,fr FRA,GK,Lens,29,1994,33.0,35,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Matz Sels,be BEL,GK,Strasbourg,31,1992,19.0,24,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Arnau Tenas,es ESP,GK,Paris Saint-Germain,22,2001,5.9,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
