Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,30.9,,,,,,,,,,,,,,,0,,,,,,Matches
3,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,16.9,,,,,,,,,,,,,,,0,,,,,,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,30,1993,31.8,,,,,,,,,,,,,,,1,,,,,,Matches
5,Matthis Abline,fr FRA,"FW,MF",Nantes,20,2003,11.6,,,,,,,,,,,,,,,0,,,,,,Matches
6,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23,2000,8.4,,,,,,,,,,,,,,,0,,,,,,Matches
7,Akor Adams,ng NGA,FW,Montpellier,23,2000,25.0,,,,,,,,,,,,,,,1,,,,,,Matches
8,Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,13.8,,,,,,,,,,,,,,,0,,,,,,Matches
9,Adryelson,br BRA,DF,Lyon,25,1998,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
10,Adson,br BRA,MF,Nantes,22,2000,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
11,Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,28.8,,,,,,,,,,,,,,,1,,,,,,Matches
12,Ruben Aguilar,fr FRA,"MF,DF",Lens,30,1993,21.4,,,,,,,,,,,,,,,3,,,,,,Matches
13,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,25,1998,10.0,,,,,,,,,,,,,,,0,,,,,,Matches
14,Sergio Akieme,es ESP,"DF,MF",Reims,25,1997,9.1,,,,,,,,,,,,,,,0,,,,,,Matches
15,Maghnes Akliouche,fr FRA,MF,Monaco,21,2002,17.9,,,,,,,,,,,,,,,4,,,,,,Matches
16,Paul Akouokou,ci CIV,MF,Lyon,25,1997,3.4,,,,,,,,,,,,,,,0,,,,,,Matches
17,Aboubacar Ali,km COM,FW,Strasbourg,17,2006,1.4,,,,,,,,,,,,,,,1,,,,,,Matches
18,Mohamed Ali Cho,fr FRA,FW,Nice,19,2004,9.6,,,,,,,,,,,,,,,2,,,,,,Matches
