Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,30.9,4,22,8,36.4,0.71,0.26,0.14,0.38,1,1,Matches
3,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,16.9,0,5,0,0.0,0.30,0.00,0.00,,0,0,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,0,0,Matches
5,Matthis Abline,fr FRA,"FW,MF",Nantes,20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,0,0,Matches
6,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23,2000,8.4,3,28,8,28.6,3.34,0.95,0.07,0.25,1,1,Matches
7,Akor Adams,ng NGA,FW,Montpellier,23,2000,25.0,8,79,33,41.8,3.16,1.32,0.10,0.24,0,0,Matches
8,Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,13.8,0,4,0,0.0,0.29,0.00,0.00,,0,0,Matches
9,Adryelson,br BRA,DF,Lyon,25,1998,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
10,Adson,br BRA,MF,Nantes,22,2000,2.6,0,5,0,0.0,1.89,0.00,0.00,,0,0,Matches
11,Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,28.8,1,33,7,21.2,1.14,0.24,0.03,0.14,0,0,Matches
12,Ruben Aguilar,fr FRA,"MF,DF",Lens,30,1993,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,0,0,Matches
13,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,25,1998,10.0,2,11,3,27.3,1.10,0.30,0.18,0.67,0,0,Matches
14,Sergio Akieme,es ESP,"DF,MF",Reims,25,1997,9.1,2,11,2,18.2,1.21,0.22,0.18,1.00,0,0,Matches
15,Maghnes Akliouche,fr FRA,MF,Monaco,21,2002,17.9,7,35,21,60.0,1.95,1.17,0.20,0.33,0,0,Matches
16,Paul Akouokou,ci CIV,MF,Lyon,25,1997,3.4,0,2,0,0.0,0.59,0.00,0.00,,0,0,Matches
17,Aboubacar Ali,km COM,FW,Strasbourg,17,2006,1.4,0,4,2,50.0,2.77,1.38,0.00,0.00,0,0,Matches
18,Mohamed Ali Cho,fr FRA,FW,Nice,19,2004,9.6,1,18,6,33.3,1.88,0.63,0.06,0.17,0,0,Matches
19,Nabil Alioui,fr FRA,"MF,FW",Le Havre,24,1999,11.2,4,28,9,32.1,2.50,0.80,0.14,0.44,0,0,Matches
20,Jim Allevinah,ga GAB,MF,Clermont Foot,28,1995,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,0,0,Matches
21,Skelly Alvero,fr FRA,MF,Lyon,21,2002,4.7,1,9,3,33.3,1.90,0.63,0.11,0.33,0,0,Matches
22,Papa Amadou Diallo,sn SEN,"MF,FW",Metz,19,2004,9.9,2,13,6,46.2,1.32,0.61,0.15,0.33,0,0,Matches
23,Jordan Amavi,fr FRA,DF,Brest,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.00,1.00,0,0,Matches
24,Kelvin Amian,fr FRA,DF,Nantes,25,1998,8.9,0,1,0,0.0,0.11,0.00,0.00,,0,0,Matches
25,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,27,1996,11.1,3,5,4,80.0,0.45,0.36,0.60,0.75,0,0,Matches
26,Benjamin André,fr FRA,MF,Lille,32,1990,28.6,4,23,9,39.1,0.81,0.32,0.17,0.44,0,0,Matches
27,Komnen Andrić,rs SRB,FW,Clermont Foot,28,1995,1.9,0,3,0,0.0,1.60,0.00,0.00,,0,0,Matches
