Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Himad Abdelli,dz ALG,MF,Angers,24,1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,0.19,0.03,0.22,0.10,0.13,Matches
5,Ali Abdi,tn TUN,MF,Nice,30,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,0.32,0.13,0.45,0.32,0.45,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21,2003,34,33,2768,30.8,9,2,11,8,1,1,3,0,0.29,0.07,0.36,0.26,0.33,Matches
7,Abner,br BRA,"DF,MF",Lyon,24,2000,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,0.33,0.09,0.43,0.28,0.38,Matches
9,Akor Adams,ng NGA,FW,Montpellier,24,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Ruben Aguilar,fr FRA,"MF,DF",Lens,31,1993,16,13,1124,12.5,1,2,3,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24,Matches
16,Jean-Eudes Aholou,ci CIV,MF,Angers,30,1994,26,26,1959,21.8,2,0,2,2,0,0,7,0,0.09,0.00,0.09,0.09,0.09,Matches
18,Ludovic Ajorque,fr FRA,FW,Brest,30,1994,31,29,2495,27.7,13,2,15,13,0,1,5,0,0.47,0.07,0.54,0.47,0.54,Matches
20,Sergio Akieme,es ESP,DF,Reims,26,1997,30,29,2523,28.0,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18,Matches
