Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Tammy Abraham,eng ENG,FW,Roma,25,1997,2.7,,1,,,,,,,,,,,0,,,,Matches
2,Francesco Acerbi,it ITA,DF,Inter,35,1988,26.5,,14,,,,,,,,,,,32,,,,Matches
3,Yacine Adli,fr FRA,MF,Milan,23,2000,15.6,,17,,,,,,,,,,,18,,,,Matches
4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,24.8,,20,,,,,,,,,,,11,,,,Matches
5,Lucien Agoume,fr FRA,MF,Inter,21,2002,0.1,,0,,,,,,,,,,,0,,,,Matches
6,Marley Aké,fr FRA,"FW,MF",Udinese,22,2001,0.1,,0,,,,,,,,,,,0,,,,Matches
7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
8,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,30,1992,7.8,,13,,,,,,,,,,,9,,,,Matches
9,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,0.6,,0,,,,,,,,,,,0,,,,Matches
10,Luis Alberto,es ESP,MF,Lazio,30,1992,25.7,,21,,,,,,,,,,,6,,,,Matches
11,Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,4.2,,6,,,,,,,,,,,5,,,,Matches
12,Pontus Almqvist,se SWE,"FW,MF",Lecce,24,1999,23.4,,28,,,,,,,,,,,14,,,,Matches
13,Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
14,Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,6.4,,7,,,,,,,,,,,9,,,,Matches
15,Felipe Anderson,br BRA,"FW,MF",Lazio,30,1993,30.8,,44,,,,,,,,,,,27,,,,Matches
16,Angeliño,es ESP,"DF,MF",Roma,26,1997,12.7,,11,,,,,,,,,,,12,,,,Matches
17,Houssem Aouar,dz ALG,"MF,FW",Roma,25,1998,8.4,,11,,,,,,,,,,,4,,,,Matches
18,Simone Aresti,it ITA,GK,Cagliari,37,1986,0.0,,0,,,,,,,,,,,0,,,,Matches
19,Marko Arnautović,at AUT,FW,Inter,34,1989,8.9,,3,,,,,,,,,,,5,,,,Matches
20,Kristjan Asllani,al ALB,MF,Inter,21,2002,8.7,,2,,,,,,,,,,,11,,,,Matches
21,Emil Audero,id IDN,GK,Inter,26,1997,3.7,,0,,,,,,,,,,,0,,,,Matches
22,Tommaso Augello,it ITA,"DF,MF",Cagliari,28,1994,26.9,,20,,,,,,,,,,,13,,,,Matches
23,Carlos Augusto,br BRA,"MF,DF",Inter,24,1999,19.2,,22,,,,,,,,,,,14,,,,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,10.0,,6,,,,,,,,,,,6,,,,Matches
25,Sardar Azmoun,ir IRN,"FW,MF",Roma,28,1995,6.5,,5,,,,,,,,,,,3,,,,Matches
26,Paulo Azzi,br BRA,"MF,DF",Cagliari,29,1994,10.6,,11,,,,,,,,,,,17,,,,Matches
27,Oussama El Azzouzi,ma MAR,MF,Bologna,22,2001,6.1,,8,,,,,,,,,,,5,,,,Matches
28,Milan Badelj,hr CRO,MF,Genoa,34,1989,28.2,,28,,,,,,,,,,,49,,,,Matches
29,Jaime Báez,uy URU,"MF,FW",Frosinone,28,1995,5.6,,1,,,,,,,,,,,4,,,,Matches
30,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
31,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,24,1999,14.6,,6,,,,,,,,,,,5,,,,Matches
32,Mitchel Bakker,nl NED,MF,Atalanta,23,2000,4.2,,4,,,,,,,,,,,3,,,,Matches
33,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,20,2003,8.3,,3,,,,,,,,,,,2,,,,Matches
34,Tommaso Baldanzi,it ITA,"MF,FW",Roma,20,2003,5.8,,5,,,,,,,,,,,0,,,,Matches
35,Lameck Banda,zm ZAM,"FW,MF",Lecce,22,2001,15.0,,23,,,,,,,,,,,3,,,,Matches
36,Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,5.0,,5,,,,,,,,,,,4,,,,Matches
37,Mattia Bani,it ITA,DF,Genoa,29,1993,25.6,,10,,,,,,,,,,,21,,,,Matches
38,Antonín Barák,cz CZE,"MF,FW",Fiorentina,28,1994,9.0,,2,,,,,,,,,,,2,,,,Matches
39,Nicolò Barella,it ITA,MF,Inter,26,1997,31.6,,28,,,,,,,,,,,8,,,,Matches
40,Enzo Barrenechea,ar ARG,MF,Frosinone,22,2001,31.2,,42,,,,,,,,,,,28,,,,Matches
