Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
4,Etrit Berisha,al ALB,GK,Empoli,34,1989,14,14,1260,14.0,25,1.79,71,49,67.6,3,3,8,4,28.6,3,2,1,0,33.3,Matches
5,Elia Caprile,it ITA,GK,Empoli,21,2001,23,23,2070,23.0,27,1.17,101,79,77.2,6,6,11,4,17.4,5,4,1,0,20.0,Matches
6,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,27,27,2425,26.9,30,1.11,101,76,74.3,15,5,7,8,29.6,7,4,2,1,33.3,Matches
9,Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35,35,3150,35.0,68,1.94,155,95,60.6,6,8,21,2,5.7,10,7,1,2,12.5,Matches
11,Benoît Costil,fr FRA,GK,Salernitana,36,1987,13,13,1170,13.0,29,2.23,65,39,60.0,2,3,8,1,7.7,3,3,0,0,0.0,Matches
14,Michele Di Gregorio,it ITA,GK,Monza,26,1997,33,33,2872,31.9,35,1.10,155,124,79.4,11,11,11,12,36.4,5,3,2,0,40.0,Matches
15,Wladimiro Falcone,it ITA,GK,Lecce,28,1995,38,38,3420,38.0,54,1.42,172,121,71.5,8,14,16,5,13.2,6,5,1,0,16.7,Matches
20,Mike Maignan,fr FRA,GK,Milan,28,1995,29,29,2609,29.0,34,1.17,114,87,76.3,19,5,5,11,37.9,7,7,0,0,0.0,Matches
23,Josep Martinez,es ESP,GK,Genoa,25,1998,36,36,3239,36.0,43,1.19,126,87,68.3,11,13,12,8,22.2,4,3,1,0,25.0,Matches
24,Alex Meret,it ITA,GK,Napoli,26,1997,31,31,2773,30.8,40,1.30,98,62,61.2,10,13,8,5,16.1,4,2,2,0,50.0,Matches
25,Vanja Milinković-Savić,rs SRB,GK,Torino,26,1997,36,36,3240,36.0,31,0.86,128,103,80.5,13,14,9,17,47.2,6,6,0,0,0.0,Matches
27,Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37,37,3330,37.0,49,1.32,153,105,69.3,9,10,18,8,21.6,2,2,0,0,0.0,Matches
28,Juan Musso,ar ARG,GK,Atalanta,29,1994,11,11,990,11.0,12,1.09,33,23,69.7,6,1,4,6,54.5,2,2,0,0,0.0,Matches
30,Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21,21,1890,21.0,44,2.10,112,74,67.0,0,6,15,1,4.8,7,7,0,0,0.0,Matches
31,Maduka Okoye,ng NGA,GK,Udinese,23,1999,21,21,1890,21.0,25,1.19,87,65,74.7,5,8,8,4,19.0,3,3,0,0,0.0,Matches
32,Rui Patrício,pt POR,GK,Roma,35,1988,23,23,2070,23.0,27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0.0,Matches
37,Ivan Provedel,it ITA,GK,Lazio,29,1994,30,30,2699,30.0,33,1.10,117,86,73.5,12,6,12,9,30.0,3,2,0,1,0.0,Matches
41,Simone Scuffet,it ITA,GK,Cagliari,27,1996,31,31,2789,31.0,55,1.77,131,79,60.3,8,10,13,3,9.7,3,3,0,0,0.0,Matches
42,Marco Silvestri,it ITA,GK,Udinese,32,1991,17,17,1530,17.0,28,1.65,63,41,65.1,1,11,5,4,23.5,6,6,0,0,0.0,Matches
43,Łukasz Skorupski,pl POL,GK,Bologna,32,1991,32,32,2880,32.0,29,0.91,105,79,75.2,14,13,5,12,37.5,6,3,1,2,25.0,Matches
45,Yann Sommer,ch SUI,GK,Inter,34,1988,34,34,3060,34.0,19,0.56,95,79,82.1,27,6,1,17,50.0,4,2,1,1,33.3,Matches
48,Mile Svilar,rs SRB,GK,Roma,23,1999,15,15,1350,15.0,19,1.27,77,59,76.6,7,4,4,5,33.3,2,1,1,0,50.0,Matches
49,Wojciech Szczęsny,pl POL,GK,Juventus,33,1990,35,35,3150,35.0,30,0.86,108,81,74.1,17,13,5,14,40.0,3,2,1,0,33.3,Matches
50,Pietro Terracciano,it ITA,GK,Fiorentina,33,1990,33,33,2970,33.0,35,1.06,119,91,75.6,15,8,10,8,24.2,7,6,1,0,14.3,Matches
51,Stefano Turati,it ITA,GK,Frosinone,21,2001,31,31,2745,30.5,58,1.90,149,97,64.4,6,9,16,4,12.9,7,5,1,1,16.7,Matches
