Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Emil Audero,id IDN,GK,Como,27,1997,8.0,18,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Jean Butez,fr FRA,GK,Como,29,1995,18.5,20,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Elia Caprile,it ITA,GK,Napoli,22,2001,3.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Elia Caprile,it ITA,GK,Cagliari,22,2001,18.0,22,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34.0,34,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Leandro Chichizola,ar ARG,GK,Parma,34,1990,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Michele Di Gregorio,it ITA,GK,Juventus,27,1997,33.0,32,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38.0,58,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,David de Gea,es ESP,GK,Fiorentina,33,1990,35.0,38,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Pierluigi Gollini,it ITA,GK,Genoa,29,1995,7.0,15,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Jesse Joronen,fi FIN,GK,Venezia,31,1993,7.8,15,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Nicola Leali,it ITA,GK,Genoa,31,1993,29.0,31,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Mike Maignan,fr FRA,GK,Milan,29,1995,36.6,41,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Christos Mandas,gr GRE,GK,Lazio,22,2001,9.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Josep Martinez,es ESP,GK,Inter,26,1998,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Andrea Mazza,it ITA,GK,Monza,20,2004,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Alex Meret,it ITA,GK,Napoli,27,1997,33.4,25,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37.0,42,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36.0,64,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Juan Musso,ar ARG,GK,Atalanta,30,1994,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Maduka Okoye,ng NGA,GK,Udinese,24,1999,25.0,40,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Daniele Padelli,it ITA,GK,Udinese,38,1985,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Alberto Paleari,it ITA,GK,Torino,31,1992,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Rui Patrício,pt POR,GK,Atalanta,36,1988,3.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Simone Perilli,it ITA,GK,Hellas Verona,29,1995,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Mattia Perin,it ITA,GK,Juventus,31,1992,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Semuel Pizzignacco,it ITA,GK,Monza,22,2001,8.2,17,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Ivan Provedel,it ITA,GK,Lazio,30,1994,29.0,42,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Ionuț Radu,ro ROU,GK,Venezia,27,1997,15.0,18,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Federico Ravaglia,it ITA,GK,Bologna,24,1999,11.7,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Pepe Reina,es ESP,GK,Como,41,1982,11.5,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Razvan Sava,ro ROU,GK,Udinese,22,2002,12.0,16,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Simone Scuffet,it ITA,GK,Cagliari,28,1996,13.0,23,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Simone Scuffet,it ITA,GK,Napoli,28,1996,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Jacopo Seghetti,it ITA,GK,Empoli,19,2005,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Alen Sherri,al ALB,GK,Cagliari,26,1997,6.9,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Benjamin Siegrist,ch SUI,GK,Genoa,32,1992,1.7,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Marco Silvestri,it ITA,GK,Empoli,33,1991,5.0,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Łukasz Skorupski,pl POL,GK,Bologna,33,1991,26.3,33,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Daniele Sommariva,it ITA,GK,Genoa,27,1997,0.3,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Yann Sommer,ch SUI,GK,Inter,35,1988,33.0,32,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Marco Sportiello,it ITA,GK,Milan,32,1992,1.4,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Filip Stankovic,rs SRB,GK,Venezia,22,2002,15.2,23,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Zion Suzuki,jp JPN,GK,Parma,21,2002,36.8,53,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Mile Svilar,rs SRB,GK,Roma,24,1999,38.0,35,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
47,Pietro Terracciano,it ITA,GK,Fiorentina,34,1990,3.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
48,Stefano Turati,it ITA,GK,Monza,22,2001,29.7,52,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
49,Devis Vásquez,co COL,GK,Empoli,26,1998,32.0,45,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
