Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Tammy Abraham,eng ENG,FW,Roma,25,1997,2.7,1,0,0,6,5,2,2,0,1,,,0,Matches
2,Francesco Acerbi,it ITA,DF,Inter,35,1988,26.5,1,0,0,19,24,3,9,32,14,,,0,Matches
3,Yacine Adli,fr FRA,MF,Milan,23,2000,15.6,3,0,0,26,9,1,50,18,17,,,0,Matches
4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,24.8,8,0,0,36,30,0,12,11,20,,,0,Matches
5,Lucien Agoume,fr FRA,MF,Inter,21,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
6,Marley Aké,fr FRA,"FW,MF",Udinese,22,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,0.2,0,0,0,0,3,0,0,0,0,,,0,Matches
8,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,30,1992,7.8,5,0,0,15,5,0,1,9,13,,,0,Matches
9,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,0.6,0,0,0,2,1,0,1,0,0,,,0,Matches
10,Luis Alberto,es ESP,MF,Lazio,30,1992,25.7,7,0,0,16,23,6,149,6,21,,,0,Matches
11,Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,4.2,0,0,0,5,5,0,1,5,6,,,0,Matches
12,Pontus Almqvist,se SWE,"FW,MF",Lecce,24,1999,23.4,5,0,0,29,35,1,22,14,28,,,0,Matches
13,Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
14,Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,6.4,2,0,0,10,6,0,1,9,7,,,0,Matches
15,Felipe Anderson,br BRA,"FW,MF",Lazio,30,1993,30.8,3,0,0,30,36,4,57,27,44,,,0,Matches
16,Angeliño,es ESP,"DF,MF",Roma,26,1997,12.7,2,0,0,13,10,1,53,12,11,,,1,Matches
17,Houssem Aouar,dz ALG,"MF,FW",Roma,25,1998,8.4,3,0,0,10,11,3,10,4,11,,,0,Matches
18,Simone Aresti,it ITA,GK,Cagliari,37,1986,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
19,Marko Arnautović,at AUT,FW,Inter,34,1989,8.9,0,0,0,11,15,8,7,5,3,,,0,Matches
20,Kristjan Asllani,al ALB,MF,Inter,21,2002,8.7,1,0,0,4,19,0,35,11,2,,,0,Matches
21,Emil Audero,id IDN,GK,Inter,26,1997,3.7,0,0,0,0,0,0,0,0,0,,,0,Matches
22,Tommaso Augello,it ITA,"DF,MF",Cagliari,28,1994,26.9,5,0,0,15,15,1,152,13,20,,,0,Matches
23,Carlos Augusto,br BRA,"MF,DF",Inter,24,1999,19.2,1,0,0,17,6,1,39,14,22,,,0,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,10.0,0,0,0,6,11,2,5,6,6,,,0,Matches
25,Sardar Azmoun,ir IRN,"FW,MF",Roma,28,1995,6.5,4,0,0,8,11,2,2,3,5,,,0,Matches
26,Paulo Azzi,br BRA,"MF,DF",Cagliari,29,1994,10.6,1,0,0,5,4,4,49,17,11,,,0,Matches
27,Oussama El Azzouzi,ma MAR,MF,Bologna,22,2001,6.1,4,0,0,14,7,1,2,5,8,,,0,Matches
28,Milan Badelj,hr CRO,MF,Genoa,34,1989,28.2,6,0,0,23,14,0,13,49,28,,,0,Matches
29,Jaime Báez,uy URU,"MF,FW",Frosinone,28,1995,5.6,1,0,0,6,15,5,24,4,1,,,0,Matches
30,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
31,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,24,1999,14.6,0,0,0,12,6,4,77,5,6,,,0,Matches
32,Mitchel Bakker,nl NED,MF,Atalanta,23,2000,4.2,1,0,0,4,4,1,13,3,4,,,0,Matches
33,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,20,2003,8.3,1,0,0,4,16,2,16,2,3,,,0,Matches
34,Tommaso Baldanzi,it ITA,"MF,FW",Roma,20,2003,5.8,2,0,0,7,14,1,5,0,5,,,0,Matches
35,Lameck Banda,zm ZAM,"FW,MF",Lecce,22,2001,15.0,5,1,0,33,30,9,51,3,23,,,0,Matches
36,Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,5.0,2,0,0,5,3,0,6,4,5,,,0,Matches
37,Mattia Bani,it ITA,DF,Genoa,29,1993,25.6,9,0,0,21,28,2,2,21,10,,,0,Matches
38,Antonín Barák,cz CZE,"MF,FW",Fiorentina,28,1994,9.0,2,0,0,8,7,1,4,2,2,,,0,Matches
39,Nicolò Barella,it ITA,MF,Inter,26,1997,31.6,7,0,0,28,27,3,50,8,28,,,0,Matches
40,Enzo Barrenechea,ar ARG,MF,Frosinone,22,2001,31.2,10,0,0,32,52,0,1,28,42,,,0,Matches
41,Davide Bartesaghi,it ITA,DF,Milan,17,2005,0.9,0,0,0,1,1,0,1,0,1,,,0,Matches
42,Federico Baschirotto,it ITA,DF,Lecce,26,1996,36.6,3,1,0,29,4,0,3,22,11,,,0,Matches
43,Toma Bašić,hr CRO,MF,Salernitana,26,1996,12.9,5,0,0,14,16,0,25,14,13,,,0,Matches
44,Alessandro Bastoni,it ITA,DF,Inter,24,1999,25.2,5,0,0,31,31,0,75,25,32,,,0,Matches
45,Simone Bastoni,it ITA,"MF,DF",Empoli,26,1996,8.3,3,0,0,17,13,0,35,11,12,,,0,Matches
46,Reda Belahyane,ma MAR,MF,Hellas Verona,19,2004,1.0,0,0,0,1,1,0,0,1,1,,,0,Matches
47,Raoul Bellanova,it ITA,MF,Torino,23,2000,33.8,5,0,0,14,53,2,178,15,26,,,0,Matches
48,Andrea Belotti,it ITA,FW,Fiorentina,29,1993,10.5,0,0,0,15,22,7,4,3,3,,,0,Matches
49,Andrea Belotti,it ITA,FW,Roma,29,1993,7.5,1,0,0,14,25,8,4,1,4,,,0,Matches
50,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,22,2001,18.8,6,0,0,24,28,4,7,2,14,,,0,Matches
51,Ismaël Bennacer,dz ALG,MF,Milan,25,1997,12.8,2,0,0,18,26,1,32,11,21,,,0,Matches
52,Domenico Berardi,it ITA,"MF,FW",Sassuolo,28,1994,15.9,6,0,0,28,28,4,73,13,6,,,0,Matches
53,Bartosz Bereszyński,pl POL,DF,Empoli,31,1992,19.6,3,0,0,23,15,0,16,21,26,,,0,Matches
54,Etrit Berisha,al ALB,GK,Empoli,34,1989,14.0,0,0,0,0,2,0,0,0,0,,,0,Matches
55,Medon Berisha,al ALB,MF,Lecce,19,2003,2.3,0,0,0,7,5,0,3,1,0,,,0,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Bologna,20,2002,25.6,4,0,0,30,7,1,36,12,33,,,0,Matches
57,Beto,gw GNB,FW,Udinese,25,1998,0.8,0,0,0,0,0,3,0,0,0,,,0,Matches
58,Davide Bettella,it ITA,DF,Monza,23,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
59,Sam Beukema,nl NED,DF,Bologna,24,1998,28.3,6,1,1,27,11,1,2,17,12,,,0,Matches
60,Jaka Bijol,si SVN,DF,Udinese,24,1999,23.2,4,0,0,28,7,0,1,23,28,,,0,Matches
