Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,28,12,1183,13.1,3,4,7,2,1,2,1,0,0.23,0.30,0.53,0.15,0.46,Matches
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,23,20,1710,19.0,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches
8,Che Adams,sct SCO,FW,Torino,28,1996,36,30,2652,29.5,9,3,12,9,0,1,2,0,0.31,0.10,0.41,0.31,0.41,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,26,15,1234,13.7,4,6,10,4,0,0,3,1,0.29,0.44,0.73,0.29,0.73,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,14,12,966,10.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25,1999,29,10,1112,12.4,1,1,2,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matches
21,Angeliño,es ESP,"MF,DF",Roma,27,1997,38,36,3177,35.3,2,1,3,2,0,0,1,0,0.06,0.03,0.08,0.06,0.08,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,22,2001,22,14,1114,12.4,2,3,5,2,0,0,3,0,0.16,0.24,0.40,0.16,0.40,Matches
25,Kristjan Asllani,al ALB,MF,Inter,22,2002,22,10,988,11.0,2,2,4,0,2,2,4,0,0.18,0.18,0.36,0.00,0.18,Matches
26,Arthur Atta,fr FRA,"MF,FW",Udinese,21,2003,27,12,1251,13.9,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
28,Tommaso Augello,it ITA,"MF,DF",Cagliari,29,1994,38,30,2713,30.1,0,7,7,0,0,0,3,0,0.00,0.23,0.23,0.00,0.23,Matches
29,Carlos Augusto,br BRA,"DF,MF",Inter,25,1999,29,15,1691,18.8,3,2,5,3,0,0,1,0,0.16,0.11,0.27,0.16,0.27,Matches
30,Yann Aurel Bisseck,de GER,DF,Inter,23,2000,27,17,1643,18.3,3,2,5,3,0,0,4,0,0.16,0.11,0.27,0.16,0.27,Matches
34,Milan Badelj,hr CRO,MF,Genoa,35,1989,23,21,1472,16.4,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
38,Botond Balogh,hu HUN,DF,Parma,22,2002,29,23,2053,22.8,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
42,Mattia Bani,it ITA,DF,Genoa,30,1993,20,19,1507,16.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Nicolò Barella,it ITA,MF,Inter,27,1997,33,29,2493,27.7,3,6,9,3,0,0,4,0,0.11,0.22,0.32,0.11,0.32,Matches
47,Federico Baschirotto,it ITA,DF,Lecce,27,1996,38,38,3420,38.0,2,0,2,2,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches
