player_name_tm,club_tm,season,market_value_eur
Gianluigi Donnarumma,Manchester City,2025-26,45000000.0
James Trafford,Manchester City,2025-26,25000000.0
Marcus Bettinelli,Manchester City,2025-26,500000.0
Josko Gvardiol,Manchester City,2025-26,70000000.0
Marc Guéhi,Manchester City,2025-26,65000000.0
Rúben Dias,Manchester City,2025-26,60000000.0
Abdukodir Khusanov,Manchester City,2025-26,35000000.0
John Stones,Manchester City,2025-26,15000000.0
Nathan Aké,Manchester City,2025-26,15000000.0
Max Alleyne,Manchester City,2025-26,8000000.0
Nico O'Reilly,Manchester City,2025-26,50000000.0
Rayan Aït-Nouri,Manchester City,2025-26,40000000.0
Matheus Nunes,Manchester City,2025-26,45000000.0
Rico Lewis,Manchester City,2025-26,32000000.0
Rodri,Manchester City,2025-26,65000000.0
Nico González,Manchester City,2025-26,45000000.0
Tijjani Reijnders,Manchester City,2025-26,60000000.0
Sverre Nypan,Manchester City,2025-26,15000000.0
Mateo Kovacic,Manchester City,2025-26,12000000.0
Phil Foden,Manchester City,2025-26,80000000.0
Rayan Cherki,Manchester City,2025-26,65000000.0
Bernardo Silva,Manchester City,2025-26,27000000.0
Jérémy Doku,Manchester City,2025-26,65000000.0
Savinho,Manchester City,2025-26,40000000.0
Antoine Semenyo,Manchester City,2025-26,75000000.0
Erling Haaland,Manchester City,2025-26,200000000.0
Omar Marmoush,Manchester City,2025-26,60000000.0
David Raya,Arsenal FC,2025-26,35000000.0
Kepa Arrizabalaga,Arsenal FC,2025-26,7000000.0
William Saliba,Arsenal FC,2025-26,90000000.0
Gabriel Magalhães,Arsenal FC,2025-26,75000000.0
Piero Hincapié,Arsenal FC,2025-26,50000000.0
Cristhian Mosquera,Arsenal FC,2025-26,35000000.0
Riccardo Calafiori,Arsenal FC,2025-26,50000000.0
Myles Lewis-Skelly,Arsenal FC,2025-26,35000000.0
Jurriën Timber,Arsenal FC,2025-26,70000000.0
Ben White,Arsenal FC,2025-26,30000000.0
Martín Zubimendi,Arsenal FC,2025-26,80000000.0
Christian Nørgaard,Arsenal FC,2025-26,7000000.0
Declan Rice,Arsenal FC,2025-26,120000000.0
Mikel Merino,Arsenal FC,2025-26,30000000.0
Martin Ødegaard,Arsenal FC,2025-26,65000000.0
Eberechi Eze,Arsenal FC,2025-26,60000000.0
Gabriel Martinelli,Arsenal FC,2025-26,45000000.0
Leandro Trossard,Arsenal FC,2025-26,20000000.0
Bukayo Saka,Arsenal FC,2025-26,120000000.0
Noni Madueke,Arsenal FC,2025-26,50000000.0
Max Dowman,Arsenal FC,2025-26,20000000.0
Viktor Gyökeres,Arsenal FC,2025-26,65000000.0
Kai Havertz,Arsenal FC,2025-26,50000000.0
Gabriel Jesus,Arsenal FC,2025-26,20000000.0
Robert Sánchez,Chelsea FC,2025-26,22000000.0
Filip Jørgensen,Chelsea FC,2025-26,15000000.0
Gabriel Slonina,Chelsea FC,2025-26,3500000.0
Teddy Sharman-Lowe,Chelsea FC,2025-26,550000.0
Levi Colwill,Chelsea FC,2025-26,50000000.0
Trevoh Chalobah,Chelsea FC,2025-26,40000000.0
