player_name_tm,club_tm,season,market_value_eur
Ederson,Manchester City,2024-25,20000000.0
Stefan Ortega,Manchester City,2024-25,8000000.0
Marcus Bettinelli,Manchester City,2024-25,600000.0
Scott Carson,Manchester City,2024-25,100000.0
Spike Brits,Manchester City,2024-25,
Max Hudson,Manchester City,2024-25,
Josko Gvardiol,Manchester City,2024-25,75000000.0
Rúben Dias,Manchester City,2024-25,65000000.0
Abdukodir Khusanov,Manchester City,2024-25,35000000.0
Vitor Reis,Manchester City,2024-25,30000000.0
Manuel Akanji,Manchester City,2024-25,28000000.0
John Stones,Manchester City,2024-25,25000000.0
Nathan Aké,Manchester City,2024-25,25000000.0
Jahmai Simpson-Pusey,Manchester City,2024-25,5000000.0
Max Alleyne,Manchester City,2024-25,500000.0
Kaden Braithwaite,Manchester City,2024-25,
Rayan Aït-Nouri,Manchester City,2024-25,35000000.0
Nico O'Reilly,Manchester City,2024-25,18000000.0
Josh Wilson-Esbrand,Manchester City,2024-25,4000000.0
Rico Lewis,Manchester City,2024-25,40000000.0
Matheus Nunes,Manchester City,2024-25,35000000.0
Kyle Walker,Manchester City,2024-25,4000000.0
Issa Kaboré,Manchester City,2024-25,4000000.0
Rodri,Manchester City,2024-25,110000000.0
Nico González,Manchester City,2024-25,40000000.0
Kalvin Phillips,Manchester City,2024-25,12000000.0
Jacob Wright,Manchester City,2024-25,800000.0
Tijjani Reijnders,Manchester City,2024-25,60000000.0
Mateo Kovacic,Manchester City,2024-25,20000000.0
İlkay Gündoğan,Manchester City,2024-25,5000000.0
Phil Foden,Manchester City,2024-25,100000000.0
Rayan Cherki,Manchester City,2024-25,45000000.0
Bernardo Silva,Manchester City,2024-25,38000000.0
Kevin De Bruyne,Manchester City,2024-25,20000000.0
James McAtee,Manchester City,2024-25,20000000.0
Claudio Echeverri,Manchester City,2024-25,18000000.0
Jérémy Doku,Manchester City,2024-25,50000000.0
Savinho,Manchester City,2024-25,50000000.0
Jack Grealish,Manchester City,2024-25,28000000.0
Oscar Bobb,Manchester City,2024-25,25000000.0
Farid Alfa-Ruprecht,Manchester City,2024-25,
Erling Haaland,Manchester City,2024-25,180000000.0
Omar Marmoush,Manchester City,2024-25,75000000.0
Divin Mubama,Manchester City,2024-25,4000000.0
Robert Sánchez,Chelsea FC,2024-25,20000000.0
Filip Jørgensen,Chelsea FC,2024-25,18000000.0
Mike Penders,Chelsea FC,2024-25,12000000.0
Gabriel Slonina,Chelsea FC,2024-25,3500000.0
Lucas Bergström,Chelsea FC,2024-25,700000.0
Max Merrick,Chelsea FC,2024-25,
Ted Curd,Chelsea FC,2024-25,
Levi Colwill,Chelsea FC,2024-25,55000000.0
Renato Veiga,Chelsea FC,2024-25,25000000.0
Trevoh Chalobah,Chelsea FC,2024-25,25000000.0
Wesley Fofana,Chelsea FC,2024-25,25000000.0
Axel Disasi,Chelsea FC,2024-25,22000000.0
Benoît Badiashile,Chelsea FC,2024-25,22000000.0
Tosin Adarabioyo,Chelsea FC,2024-25,20000000.0
Mamadou Sarr,Chelsea FC,2024-25,20000000.0
Aarón Anselmino,Chelsea FC,2024-25,8000000.0
Harrison Murray-Campbell,Chelsea FC,2024-25,500000.0
Kaiden Wilson,Chelsea FC,2024-25,
Marc Cucurella,Chelsea FC,2024-25,35000000.0
Ben Chilwell,Chelsea FC,2024-25,15000000.0
Ishé Samuels-Smith,Chelsea FC,2024-25,700000.0
Landon Emenalo,Chelsea FC,2024-25,
Malo Gusto,Chelsea FC,2024-25,35000000.0
Reece James,Chelsea FC,2024-25,30000000.0
Josh Acheampong,Chelsea FC,2024-25,8000000.0
Genesis Antwi,Chelsea FC,2024-25,350000.0
Richard Olise,Chelsea FC,2024-25,
Moisés Caicedo,Chelsea FC,2024-25,90000000.0
Roméo Lavia,Chelsea FC,2024-25,40000000.0
Dário Essugo,Chelsea FC,2024-25,20000000.0
Sam Rak-Sakyi,Chelsea FC,2024-25,800000.0
Enzo Fernández,Chelsea FC,2024-25,75000000.0
Andrey Santos,Chelsea FC,2024-25,35000000.0
Kiernan Dewsbury-Hall,Chelsea FC,2024-25,20000000.0
Carney Chukwuemeka,Chelsea FC,2024-25,18000000.0
Cesare Casadei,Chelsea FC,2024-25,15000000.0
Mathis Amougou,Chelsea FC,2024-25,10000000.0
Kiano Dyer,Chelsea FC,2024-25,
Reggie Walsh,Chelsea FC,2024-25,
Harvey Vale,Chelsea FC,2024-25,1500000.0
Cole Palmer,Chelsea FC,2024-25,120000000.0
Omari Kellyman,Chelsea FC,2024-25,1500000.0
Jadon Sancho,Chelsea FC,2024-25,28000000.0
Tyrique George,Chelsea FC,2024-25,10000000.0
Mykhaylo Mudryk,Chelsea FC,2024-25,
Pedro Neto,Chelsea FC,2024-25,50000000.0
Noni Madueke,Chelsea FC,2024-25,40000000.0
Ato Ampah,Chelsea FC,2024-25,
João Félix,Chelsea FC,2024-25,20000000.0
João Pedro,Chelsea FC,2024-25,50000000.0
Nicolas Jackson,Chelsea FC,2024-25,50000000.0
Liam Delap,Chelsea FC,2024-25,40000000.0
Christopher Nkunku,Chelsea FC,2024-25,35000000.0
Deivid Washington,Chelsea FC,2024-25,8000000.0
Marc Guiu,Chelsea FC,2024-25,8000000.0
David Datro Fofana,Chelsea FC,2024-25,6000000.0
Shumaira Mheuka,Chelsea FC,2024-25,800000.0
David Raya,Arsenal FC,2024-25,40000000.0
Aaron Ramsdale,Arsenal FC,2024-25,16000000.0
Neto,Arsenal FC,2024-25,1500000.0
Jack Porter,Arsenal FC,2024-25,400000.0
Alexéi Rojas,Arsenal FC,2024-25,250000.0
Tommy Setford,Arsenal FC,2024-25,
William Saliba,Arsenal FC,2024-25,80000000.0
Gabriel,Arsenal FC,2024-25,75000000.0
Jakub Kiwior,Arsenal FC,2024-25,28000000.0
Ayden Heaven,Arsenal FC,2024-25,5000000.0
Zane Monlouis,Arsenal FC,2024-25,400000.0
Maldini Kacurri,Arsenal FC,2024-25,300000.0
Brayden Clarke,Arsenal FC,2024-25,
Myles Lewis-Skelly,Arsenal FC,2024-25,45000000.0
Riccardo Calafiori,Arsenal FC,2024-25,35000000.0
Oleksandr Zinchenko,Arsenal FC,2024-25,20000000.0
Kieran Tierney,Arsenal FC,2024-25,9000000.0
Jurriën Timber,Arsenal FC,2024-25,55000000.0
Ben White,Arsenal FC,2024-25,45000000.0
Takehiro Tomiyasu,Arsenal FC,2024-25,18000000.0
Michał Rosiak,Arsenal FC,2024-25,
Josh Robinson,Arsenal FC,2024-25,
Josh Nichols,Arsenal FC,2024-25,
Thomas Partey,Arsenal FC,2024-25,14000000.0
Jorginho,Arsenal FC,2024-25,6000000.0
Jack Henry-Francis,Arsenal FC,2024-25,200000.0
Declan Rice,Arsenal FC,2024-25,120000000.0
Mikel Merino,Arsenal FC,2024-25,35000000.0
Salah Oulad,Arsenal FC,2024-25,400000.0
Jimi Gower,Arsenal FC,2024-25,
Martin Ødegaard,Arsenal FC,2024-25,85000000.0
Ethan Nwaneri,Arsenal FC,2024-25,55000000.0
Gabriel Martinelli,Arsenal FC,2024-25,55000000.0
Leandro Trossard,Arsenal FC,2024-25,22000000.0
Reiss Nelson,Arsenal FC,2024-25,16000000.0
Bukayo Saka,Arsenal FC,2024-25,150000000.0
Raheem Sterling,Arsenal FC,2024-25,10000000.0
Ismeal Kabia,Arsenal FC,2024-25,
Kai Havertz,Arsenal FC,2024-25,65000000.0
Gabriel Jesus,Arsenal FC,2024-25,32000000.0
Eddie Nketiah,Arsenal FC,2024-25,18000000.0
Nathan Butler-Oyedeji,Arsenal FC,2024-25,1000000.0
Alisson,Liverpool FC,2024-25,20000000.0
Caoimhín Kelleher,Liverpool FC,2024-25,20000000.0
Vitezslav Jaros,Liverpool FC,2024-25,4000000.0
Harvey Davies,Liverpool FC,2024-25,500000.0
Ibrahima Konaté,Liverpool FC,2024-25,60000000.0
Virgil van Dijk,Liverpool FC,2024-25,23000000.0
Joe Gomez,Liverpool FC,2024-25,20000000.0
Jarell Quansah,Liverpool FC,2024-25,20000000.0
Amara Nallo,Liverpool FC,2024-25,1000000.0
Konstantinos Tsimikas,Liverpool FC,2024-25,18000000.0
Andrew Robertson,Liverpool FC,2024-25,18000000.0
James Norris,Liverpool FC,2024-25,150000.0
Trent Alexander-Arnold,Liverpool FC,2024-25,75000000.0
Conor Bradley,Liverpool FC,2024-25,30000000.0
Isaac Mabaya,Liverpool FC,2024-25,
Ryan Gravenberch,Liverpool FC,2024-25,75000000.0
Wataru Endo,Liverpool FC,2024-25,8000000.0
Tyler Morton,Liverpool FC,2024-25,7000000.0
James McConnell,Liverpool FC,2024-25,2000000.0
Alexis Mac Allister,Liverpool FC,2024-25,100000000.0
Curtis Jones,Liverpool FC,2024-25,45000000.0
Trey Nyoni,Liverpool FC,2024-25,4500000.0
Dominik Szoboszlai,Liverpool FC,2024-25,80000000.0
Harvey Elliott,Liverpool FC,2024-25,30000000.0
Luis Díaz,Liverpool FC,2024-25,70000000.0
Cody Gakpo,Liverpool FC,2024-25,70000000.0
Diogo Jota,Liverpool FC,2024-25,40000000.0
Trent Kone-Doherty,Liverpool FC,2024-25,
Rio Ngumoha,Liverpool FC,2024-25,
Mohamed Salah,Liverpool FC,2024-25,50000000.0
Federico Chiesa,Liverpool FC,2024-25,14000000.0
Ranel Young,Liverpool FC,2024-25,
Kieran Morrison,Liverpool FC,2024-25,
Darwin Núñez,Liverpool FC,2024-25,45000000.0
Jayden Danns,Liverpool FC,2024-25,800000.0
André Onana,Manchester United,2024-25,25000000.0
