player_name_tm,club_tm,season,market_value_eur
Thibaut Courtois,Real Madrid,2023-24,28000000.0
Andriy Lunin,Real Madrid,2023-24,25000000.0
Kepa Arrizabalaga,Real Madrid,2023-24,12000000.0
Lucas Cañizares,Real Madrid,2023-24,400000.0
Mario de Luis,Real Madrid,2023-24,400000.0
Diego Piñeiro,Real Madrid,2023-24,50000.0
Fran González,Real Madrid,2023-24,
Éder Militão,Real Madrid,2023-24,60000000.0
Antonio Rüdiger,Real Madrid,2023-24,25000000.0
David Alaba,Real Madrid,2023-24,20000000.0
Nacho Fernández,Real Madrid,2023-24,3000000.0
Álvaro Carrillo,Real Madrid,2023-24,300000.0
Edgar Pujol,Real Madrid,2023-24,250000.0
Jacobo Ramón,Real Madrid,2023-24,100000.0
Ferland Mendy,Real Madrid,2023-24,22000000.0
Fran García,Real Madrid,2023-24,15000000.0
Daniel Carvajal,Real Madrid,2023-24,12000000.0
Lucas Vázquez,Real Madrid,2023-24,4000000.0
Vinícius Tobias,Real Madrid,2023-24,3000000.0
Álvaro Odriozola,Real Madrid,2023-24,2500000.0
Aurélien Tchouaméni,Real Madrid,2023-24,100000000.0
Mario Martín,Real Madrid,2023-24,300000.0
Federico Valverde,Real Madrid,2023-24,120000000.0
Eduardo Camavinga,Real Madrid,2023-24,100000000.0
Toni Kroos,Real Madrid,2023-24,10000000.0
Luka Modrić,Real Madrid,2023-24,6000000.0
Dani Ceballos,Real Madrid,2023-24,6000000.0
Théo Zidane,Real Madrid,2023-24,300000.0
Jude Bellingham,Real Madrid,2023-24,180000000.0
Arda Güler,Real Madrid,2023-24,30000000.0
Nico Paz,Real Madrid,2023-24,10000000.0
Vinicius Junior,Real Madrid,2023-24,180000000.0
Rodrygo,Real Madrid,2023-24,110000000.0
Brahim Díaz,Real Madrid,2023-24,40000000.0
Joselu,Real Madrid,2023-24,5000000.0
Álvaro Rodríguez,Real Madrid,2023-24,3500000.0
Gonzalo García,Real Madrid,2023-24,1000000.0
Marc-André ter Stegen,FC Barcelona,2023-24,28000000.0
Iñaki Peña,FC Barcelona,2023-24,8000000.0
Ander Astralaga,FC Barcelona,2023-24,1000000.0
Diego Kochen,FC Barcelona,2023-24,100000.0
Áron Yaakobishvili,FC Barcelona,2023-24,
Ronald Araujo,FC Barcelona,2023-24,70000000.0
Andreas Christensen,FC Barcelona,2023-24,40000000.0
Pau Cubarsí,FC Barcelona,2023-24,30000000.0
Eric García,FC Barcelona,2023-24,20000000.0
Mikayil Faye,FC Barcelona,2023-24,10000000.0
Iñigo Martínez,FC Barcelona,2023-24,5000000.0
Marcos Alonso,FC Barcelona,2023-24,2000000.0
Alejandro Balde,FC Barcelona,2023-24,40000000.0
Jules Koundé,FC Barcelona,2023-24,45000000.0
João Cancelo,FC Barcelona,2023-24,25000000.0
Héctor Fort,FC Barcelona,2023-24,10000000.0
Marc Casadó,FC Barcelona,2023-24,2500000.0
Oriol Romeu,FC Barcelona,2023-24,2000000.0
Pau Prim,FC Barcelona,2023-24,500000.0
Gavi,FC Barcelona,2023-24,90000000.0
Pedri,FC Barcelona,2023-24,80000000.0
Frenkie de Jong,FC Barcelona,2023-24,70000000.0
İlkay Gündoğan,FC Barcelona,2023-24,15000000.0
Sergi Roberto,FC Barcelona,2023-24,2500000.0
Unai Hernández,FC Barcelona,2023-24,800000.0
Aleix Garrido,FC Barcelona,2023-24,500000.0
Fermín López,FC Barcelona,2023-24,30000000.0
Raphinha,FC Barcelona,2023-24,50000000.0
Ansu Fati,FC Barcelona,2023-24,25000000.0
Abde Ezzalzouli,FC Barcelona,2023-24,9000000.0
Ángel Alarcón,FC Barcelona,2023-24,300000.0
Lamine Yamal,FC Barcelona,2023-24,90000000.0
João Félix,FC Barcelona,2023-24,30000000.0
Ferran Torres,FC Barcelona,2023-24,30000000.0
Vitor Roque,FC Barcelona,2023-24,30000000.0
Robert Lewandowski,FC Barcelona,2023-24,15000000.0
Marc Guiu,FC Barcelona,2023-24,7500000.0
Pau Víctor,FC Barcelona,2023-24,1500000.0
Álex Remiro,Real Sociedad,2023-24,25000000.0
Gaizka Ayesa,Real Sociedad,2023-24,300000.0
Unai Marrero,Real Sociedad,2023-24,300000.0
Aitor Fraga,Real Sociedad,2023-24,200000.0
Robin Le Normand,Real Sociedad,2023-24,40000000.0
Igor Zubeldia,Real Sociedad,2023-24,22000000.0
Jon Pacheco,Real Sociedad,2023-24,15000000.0
Aritz Elustondo,Real Sociedad,2023-24,5000000.0
Jon Martín,Real Sociedad,2023-24,2000000.0
Kieran Tierney,Real Sociedad,2023-24,12000000.0
Aihen Muñoz,Real Sociedad,2023-24,8000000.0
Javi Galán,Real Sociedad,2023-24,7000000.0
Diego Rico,Real Sociedad,2023-24,1500000.0
Hamari Traoré,Real Sociedad,2023-24,6000000.0
Jon Aramburu,Real Sociedad,2023-24,2500000.0
Alberto Dadie,Real Sociedad,2023-24,250000.0
Iñaki Rupérez,Real Sociedad,2023-24,150000.0
Martín Zubimendi,Real Sociedad,2023-24,50000000.0
Urko González de Zárate,Real Sociedad,2023-24,1200000.0
Mikel Merino,Real Sociedad,2023-24,50000000.0
Beñat Turrientes,Real Sociedad,2023-24,20000000.0
Jon Ander Olasagasti,Real Sociedad,2023-24,1200000.0
Brais Méndez,Real Sociedad,2023-24,40000000.0
Arsen Zakharyan,Real Sociedad,2023-24,18000000.0
Pablo Marín,Real Sociedad,2023-24,1500000.0
Jon Magunazelaia,Real Sociedad,2023-24,1000000.0
Ander Barrenetxea,Real Sociedad,2023-24,20000000.0
Sheraldo Becker,Real Sociedad,2023-24,10000000.0
Martín Merquelanz,Real Sociedad,2023-24,600000.0
Takefusa Kubo,Real Sociedad,2023-24,50000000.0
Mohamed-Ali Cho,Real Sociedad,2023-24,10000000.0
Robert Navarro,Real Sociedad,2023-24,6000000.0
Álex Sola,Real Sociedad,2023-24,4000000.0
Mikel Oyarzabal,Real Sociedad,2023-24,45000000.0
Umar Sadiq,Real Sociedad,2023-24,10000000.0
André Silva,Real Sociedad,2023-24,6000000.0
Jon Karrikaburu,Real Sociedad,2023-24,2500000.0
Carlos Fernández,Real Sociedad,2023-24,1500000.0
Bryan Fiabema,Real Sociedad,2023-24,300000.0
Jan Oblak,Atlético de Madrid,2023-24,28000000.0
Ivo Grbic,Atlético de Madrid,2023-24,3500000.0
Horațiu Moldovan,Atlético de Madrid,2023-24,2500000.0
Antonio Gomis,Atlético de Madrid,2023-24,150000.0
Sergio Mestre,Atlético de Madrid,2023-24,50000.0
Mario Hermoso,Atlético de Madrid,2023-24,25000000.0
José María Giménez,Atlético de Madrid,2023-24,22000000.0
Çağlar Söyüncü,Atlético de Madrid,2023-24,10000000.0
Stefan Savic,Atlético de Madrid,2023-24,2500000.0
César Azpilicueta,Atlético de Madrid,2023-24,2000000.0
Gabriel Paulista,Atlético de Madrid,2023-24,2000000.0
Marco Moreno,Atlético de Madrid,2023-24,400000.0
Ilias Kostis,Atlético de Madrid,2023-24,300000.0
Reinildo Mandava,Atlético de Madrid,2023-24,9000000.0
Marcos Llorente,Atlético de Madrid,2023-24,30000000.0
Nahuel Molina,Atlético de Madrid,2023-24,28000000.0
Javier Boñar,Atlético de Madrid,2023-24,500000.0
Arthur Vermeeren,Atlético de Madrid,2023-24,25000000.0
Axel Witsel,Atlético de Madrid,2023-24,3500000.0
Rodrigo De Paul,Atlético de Madrid,2023-24,30000000.0
Pablo Barrios,Atlético de Madrid,2023-24,25000000.0
Koke,Atlético de Madrid,2023-24,12000000.0
Saúl Ñíguez,Atlético de Madrid,2023-24,7500000.0
Aitor Gismera,Atlético de Madrid,2023-24,250000.0
Thomas Lemar,Atlético de Madrid,2023-24,10000000.0
Sergio Guerrero,Atlético de Madrid,2023-24,200000.0
Álex Calatrava,Atlético de Madrid,2023-24,200000.0
Rayane Belaid,Atlético de Madrid,2023-24,
Samuel Lino,Atlético de Madrid,2023-24,30000000.0
Rodrigo Riquelme,Atlético de Madrid,2023-24,25000000.0
Yannick Carrasco,Atlético de Madrid,2023-24,14000000.0
Marcos Paulo,Atlético de Madrid,2023-24,2000000.0
Salim El Jebari,Atlético de Madrid,2023-24,1000000.0
Vitolo,Atlético de Madrid,2023-24,100000.0
Antoine Griezmann,Atlético de Madrid,2023-24,25000000.0
Ángel Correa,Atlético de Madrid,2023-24,18000000.0
Memphis Depay,Atlético de Madrid,2023-24,10000000.0
Álvaro Morata,Atlético de Madrid,2023-24,16000000.0
Adrián Niño,Atlético de Madrid,2023-24,500000.0
Abde Raihani,Atlético de Madrid,2023-24,300000.0
Paulo Gazzaniga,Girona FC,2023-24,4000000.0
Toni Fuidias,Girona FC,2023-24,300000.0
Juan Carlos,Girona FC,2023-24,200000.0
Santiago Bueno,Girona FC,2023-24,8000000.0
Daley Blind,Girona FC,2023-24,3000000.0
David López,Girona FC,2023-24,2500000.0
Juanpe,Girona FC,2023-24,1000000.0
Bernardo Espinosa,Girona FC,2023-24,550000.0
Eric Monjonell,Girona FC,2023-24,200000.0
Antal Yaakobishvili,Girona FC,2023-24,
Miguel Gutiérrez,Girona FC,2023-24,25000000.0
Arnau Martínez,Girona FC,2023-24,10000000.0
Ibrahima Kébé,Girona FC,2023-24,500000.0
Selvi Clua,Girona FC,2023-24,
Aleix García,Girona FC,2023-24,25000000.0
Yangel Herrera,Girona FC,2023-24,25000000.0
Iván Martín,Girona FC,2023-24,15000000.0
Jhon Solís,Girona FC,2023-24,3000000.0
Enric García,Girona FC,2023-24,
Yan Couto,Girona FC,2023-24,25000000.0
Pablo Torre,Girona FC,2023-24,3000000.0
Borja García,Girona FC,2023-24,800000.0
Ricard Artero,Girona FC,2023-24,
Savinho,Girona FC,2023-24,50000000.0
Toni Villa,Girona FC,2023-24,1500000.0
Alex Almansa,Girona FC,2023-24,
Juan Arango,Girona FC,2023-24,
Jastin Garcia,Girona FC,2023-24,
Viktor Tsygankov,Girona FC,2023-24,30000000.0
Portu,Girona FC,2023-24,3500000.0
Valery Fernández,Girona FC,2023-24,2500000.0
Iker Almena,Girona FC,2023-24,
Manu Vallejo,Girona FC,2023-24,1500000.0
Artem Dovbyk,Girona FC,2023-24,35000000.0
Cristhian Stuani,Girona FC,2023-24,1800000.0
Carles Garrido,Girona FC,2023-24,50000.0
Unai Simón,Athletic Bilbao,2023-24,30000000.0
Julen Agirrezabala,Athletic Bilbao,2023-24,5000000.0
Álex Padilla,Athletic Bilbao,2023-24,200000.0
Dani Vivian,Athletic Bilbao,2023-24,25000000.0
Aitor Paredes,Athletic Bilbao,2023-24,22000000.0
Yeray Álvarez,Athletic Bilbao,2023-24,8000000.0
Unai Egiluz,Athletic Bilbao,2023-24,100000.0
Yuri Berchiche,Athletic Bilbao,2023-24,1800000.0
Imanol García de Albéniz,Athletic Bilbao,2023-24,1200000.0
Iñigo Lekue,Athletic Bilbao,2023-24,3000000.0
Óscar de Marcos,Athletic Bilbao,2023-24,1500000.0
Hugo Rincón,Athletic Bilbao,2023-24,250000.0
Mikel Vesga,Athletic Bilbao,2023-24,4000000.0
Dani García,Athletic Bilbao,2023-24,1800000.0
Peru Nolaskoain,Athletic Bilbao,2023-24,1000000.0
Beñat Prados,Athletic Bilbao,2023-24,15000000.0
Iñigo Ruiz de Galarreta,Athletic Bilbao,2023-24,5000000.0
Ander Herrera,Athletic Bilbao,2023-24,2000000.0
Mikel Jauregizar,Athletic Bilbao,2023-24,800000.0
Oihan Sancet,Athletic Bilbao,2023-24,35000000.0
Unai Gómez,Athletic Bilbao,2023-24,6000000.0
Raúl García,Athletic Bilbao,2023-24,1500000.0
Nico Williams,Athletic Bilbao,2023-24,60000000.0
Álex Berenguer,Athletic Bilbao,2023-24,12000000.0
Iker Muniain,Athletic Bilbao,2023-24,5000000.0
Iñaki Williams,Athletic Bilbao,2023-24,25000000.0
Adu Ares,Athletic Bilbao,2023-24,2000000.0
Aingeru Olabarrieta,Athletic Bilbao,2023-24,500000.0
Gorka Guruzeta,Athletic Bilbao,2023-24,18000000.0
Asier Villalibre,Athletic Bilbao,2023-24,2500000.0
Javi Martón,Athletic Bilbao,2023-24,500000.0
Filip Jørgensen,Villarreal CF,2023-24,20000000.0
Iker Álvarez,Villarreal CF,2023-24,800000.0
Pepe Reina,Villarreal CF,2023-24,600000.0
Juan Foyth,Villarreal CF,2023-24,15000000.0
Matteo Gabbia,Villarreal CF,2023-24,8000000.0
Yerson Mosquera,Villarreal CF,2023-24,6000000.0
Jorge Cuenca,Villarreal CF,2023-24,6000000.0
Eric Bailly,Villarreal CF,2023-24,3000000.0
Stefan Lekovic,Villarreal CF,2023-24,1800000.0
Aïssa Mandi,Villarreal CF,2023-24,1800000.0
Raúl Albiol,Villarreal CF,2023-24,1500000.0
Antonio Espigares,Villarreal CF,2023-24,500000.0
Abraham del Moral,Villarreal CF,2023-24,100000.0
Alfonso Pedraza,Villarreal CF,2023-24,5000000.0
Alberto Moreno,Villarreal CF,2023-24,1800000.0
Carlos Romero,Villarreal CF,2023-24,1500000.0
Adrià Altimira,Villarreal CF,2023-24,2000000.0
Kiko Femenía,Villarreal CF,2023-24,1400000.0
Daniel Budesca,Villarreal CF,2023-24,
Étienne Capoue,Villarreal CF,2023-24,1500000.0
Francis Coquelin,Villarreal CF,2023-24,1500000.0
Santi Comesaña,Villarreal CF,2023-24,6000000.0
Ramón Terrats,Villarreal CF,2023-24,4000000.0
Dani Parejo,Villarreal CF,2023-24,2500000.0
Manu Trigueros,Villarreal CF,2023-24,1500000.0
Dani Requena,Villarreal CF,2023-24,400000.0
Denis Suárez,Villarreal CF,2023-24,1500000.0
Álex Baena,Villarreal CF,2023-24,40000000.0
Gonçalo Guedes,Villarreal CF,2023-24,15000000.0
Diego Collado,Villarreal CF,2023-24,800000.0
Yéremy Pino,Villarreal CF,2023-24,30000000.0
Ilias Akhomach,Villarreal CF,2023-24,15000000.0
Bertrand Traoré,Villarreal CF,2023-24,9000000.0
Alexander Sørloth,Villarreal CF,2023-24,25000000.0
