player_name_tm,club_tm,season,market_value_eur
Gianluigi Donnarumma,Paris Saint-Germain,2023-24,40000000.0
Arnau Tenas,Paris Saint-Germain,2023-24,5000000.0
Keylor Navas,Paris Saint-Germain,2023-24,1500000.0
Sergio Rico,Paris Saint-Germain,2023-24,1500000.0
Alexandre Letellier,Paris Saint-Germain,2023-24,250000.0
Louis Mouquet,Paris Saint-Germain,2023-24,
Marquinhos,Paris Saint-Germain,2023-24,50000000.0
Lucas Beraldo,Paris Saint-Germain,2023-24,30000000.0
Milan Škriniar,Paris Saint-Germain,2023-24,30000000.0
Presnel Kimpembe,Paris Saint-Germain,2023-24,12000000.0
Danilo Pereira,Paris Saint-Germain,2023-24,8000000.0
Joane Gadou,Paris Saint-Germain,2023-24,500000.0
Nuno Mendes,Paris Saint-Germain,2023-24,55000000.0
Lucas Hernández,Paris Saint-Germain,2023-24,40000000.0
Layvin Kurzawa,Paris Saint-Germain,2023-24,1800000.0
Serif Nhaga,Paris Saint-Germain,2023-24,
Achraf Hakimi,Paris Saint-Germain,2023-24,60000000.0
Nordi Mukiele,Paris Saint-Germain,2023-24,10000000.0
Yoram Zague,Paris Saint-Germain,2023-24,2500000.0
Vitinha,Paris Saint-Germain,2023-24,50000000.0
Manuel Ugarte,Paris Saint-Germain,2023-24,45000000.0
Warren Zaïre-Emery,Paris Saint-Germain,2023-24,60000000.0
Fabián Ruiz,Paris Saint-Germain,2023-24,30000000.0
Carlos Soler,Paris Saint-Germain,2023-24,20000000.0
Senny Mayulu,Paris Saint-Germain,2023-24,5000000.0
Cher Ndour,Paris Saint-Germain,2023-24,4000000.0
Kang-in Lee,Paris Saint-Germain,2023-24,25000000.0
Marco Asensio,Paris Saint-Germain,2023-24,20000000.0
Bradley Barcola,Paris Saint-Germain,2023-24,50000000.0
Ismaël Gharbi,Paris Saint-Germain,2023-24,7500000.0
Ethan Mbappé,Paris Saint-Germain,2023-24,1500000.0
Kylian Mbappé,Paris Saint-Germain,2023-24,180000000.0
Ousmane Dembélé,Paris Saint-Germain,2023-24,60000000.0
Gonçalo Ramos,Paris Saint-Germain,2023-24,50000000.0
Randal Kolo Muani,Paris Saint-Germain,2023-24,45000000.0
Hugo Ekitiké,Paris Saint-Germain,2023-24,20000000.0
Radoslaw Majecki,AS Monaco,2023-24,5000000.0
Philipp Köhn,AS Monaco,2023-24,5000000.0
Yann Lienard,AS Monaco,2023-24,200000.0
Wilfried Singo,AS Monaco,2023-24,25000000.0
Mohammed Salisu,AS Monaco,2023-24,15000000.0
Guillermo Maripán,AS Monaco,2023-24,10000000.0
Thilo Kehrer,AS Monaco,2023-24,10000000.0
Chrislain Matsima,AS Monaco,2023-24,7000000.0
Ritchy Valmé,AS Monaco,2023-24,200000.0
Caio Henrique,AS Monaco,2023-24,20000000.0
Ismail Jakobs,AS Monaco,2023-24,8000000.0
Kassoum Ouattara,AS Monaco,2023-24,8000000.0
Antonin Cartillier,AS Monaco,2023-24,200000.0
Vanderson,AS Monaco,2023-24,20000000.0
Ruben Aguilar,AS Monaco,2023-24,5000000.0
Nazim Babaï,AS Monaco,2023-24,100000.0
Youssouf Fofana,AS Monaco,2023-24,30000000.0
Denis Zakaria,AS Monaco,2023-24,25000000.0
Mohamed Camara,AS Monaco,2023-24,20000000.0
Soungoutou Magassa,AS Monaco,2023-24,8000000.0
Eliot Matazo,AS Monaco,2023-24,5000000.0
Edan Diop,AS Monaco,2023-24,2000000.0
Mamadou Coulibaly,AS Monaco,2023-24,300000.0
Mayssam Benama,AS Monaco,2023-24,150000.0
Krépin Diatta,AS Monaco,2023-24,12000000.0
Aurélien Platret,AS Monaco,2023-24,100000.0
Aleksandr Golovin,AS Monaco,2023-24,30000000.0
Félix Lemaréchal,AS Monaco,2023-24,5000000.0
Kevin Volland,AS Monaco,2023-24,4000000.0
Saïmon Bouabré,AS Monaco,2023-24,200000.0
Takumi Minamino,AS Monaco,2023-24,20000000.0
Eliesse Ben Seghir,AS Monaco,2023-24,15000000.0
Lucas Michal,AS Monaco,2023-24,100000.0
Maghnes Akliouche,AS Monaco,2023-24,25000000.0
Gelson Martins,AS Monaco,2023-24,2500000.0
Malamine Efekele,AS Monaco,2023-24,500000.0
Folarin Balogun,AS Monaco,2023-24,30000000.0
Breel Embolo,AS Monaco,2023-24,12000000.0
Wissam Ben Yedder,AS Monaco,2023-24,8000000.0
Myron Boadu,AS Monaco,2023-24,5000000.0
Gauthier Gallon,Stade Rennais FC,2023-24,1200000.0
Steve Mandanda,Stade Rennais FC,2023-24,800000.0
Geoffrey Lembet,Stade Rennais FC,2023-24,150000.0
Yann Batola,Stade Rennais FC,2023-24,
Arthur Theate,Stade Rennais FC,2023-24,20000000.0
Jeanuël Belocian,Stade Rennais FC,2023-24,10000000.0
Alidu Seidu,Stade Rennais FC,2023-24,9000000.0
Warmed Omari,Stade Rennais FC,2023-24,8000000.0
Christopher Wooh,Stade Rennais FC,2023-24,6000000.0
Mohamed Jaouab,Stade Rennais FC,2023-24,600000.0
Jérémy Jacquet,Stade Rennais FC,2023-24,500000.0
Adrien Truffert,Stade Rennais FC,2023-24,18000000.0
Birger Meling,Stade Rennais FC,2023-24,3500000.0
Mahamadou Nagida,Stade Rennais FC,2023-24,500000.0
Lorenz Assignon,Stade Rennais FC,2023-24,10000000.0
Guéla Doué,Stade Rennais FC,2023-24,7000000.0
Rayan Bamba,Stade Rennais FC,2023-24,
Azor Matusiwa,Stade Rennais FC,2023-24,12000000.0
Baptiste Santamaria,Stade Rennais FC,2023-24,10000000.0
Nemanja Matić,Stade Rennais FC,2023-24,3000000.0
Benjamin Bourigeaud,Stade Rennais FC,2023-24,18000000.0
Enzo Le Fée,Stade Rennais FC,2023-24,18000000.0
Flavien Tait,Stade Rennais FC,2023-24,2000000.0
Djaoui Cissé,Stade Rennais FC,2023-24,100000.0
Ludovic Blas,Stade Rennais FC,2023-24,15000000.0
Lovro Majer,Stade Rennais FC,2023-24,20000000.0
Fabian Rieder,Stade Rennais FC,2023-24,8000000.0
Jérémy Doku,Stade Rennais FC,2023-24,65000000.0
Martin Terrier,Stade Rennais FC,2023-24,20000000.0
Ibrahim Salah,Stade Rennais FC,2023-24,4000000.0
Désiré Doué,Stade Rennais FC,2023-24,30000000.0
Amine Gouiri,Stade Rennais FC,2023-24,25000000.0
Arnaud Kalimuendo,Stade Rennais FC,2023-24,20000000.0
Matthis Abline,Stade Rennais FC,2023-24,6000000.0
Bertuğ Yıldırım,Stade Rennais FC,2023-24,3500000.0
Mathis Lambourde,Stade Rennais FC,2023-24,500000.0
Lucas Chevalier,LOSC Lille,2023-24,25000000.0
Lisandru Olmeta,LOSC Lille,2023-24,200000.0
Vito Mannone,LOSC Lille,2023-24,200000.0
Adam Jakubech,LOSC Lille,2023-24,200000.0
Tom Negrel,LOSC Lille,2023-24,
Mohamed-Amine Ezzarhouni,LOSC Lille,2023-24,
Leny Yoro,LOSC Lille,2023-24,50000000.0
Bafodé Diakité,LOSC Lille,2023-24,18000000.0
Tiago Djaló,LOSC Lille,2023-24,12000000.0
Alexsandro,LOSC Lille,2023-24,8000000.0
Samuel Umtiti,LOSC Lille,2023-24,2500000.0
Rafael Fernandes,LOSC Lille,2023-24,1500000.0
Ousmane Touré,LOSC Lille,2023-24,50000.0
Gabriel Gudmundsson,LOSC Lille,2023-24,5000000.0
Ismaily,LOSC Lille,2023-24,1800000.0
Tiago Santos,LOSC Lille,2023-24,15000000.0
Akim Zedadka,LOSC Lille,2023-24,2000000.0
Carlos Baleba,LOSC Lille,2023-24,22000000.0
Nabil Bentaleb,LOSC Lille,2023-24,10000000.0
Benjamin André,LOSC Lille,2023-24,8000000.0
Ignacio Miramón,LOSC Lille,2023-24,2500000.0
Lilian Baret,LOSC Lille,2023-24,
Ayyoub Bouaddi,LOSC Lille,2023-24,6000000.0
Alan Virginius,LOSC Lille,2023-24,3500000.0
Vincent Burlet,LOSC Lille,2023-24,
Angel Gomes,LOSC Lille,2023-24,25000000.0
Yusuf Yazıcı,LOSC Lille,2023-24,10000000.0
Hákon Arnar Haraldsson,LOSC Lille,2023-24,9000000.0
Rémy Cabella,LOSC Lille,2023-24,3500000.0
Tiago Morais,LOSC Lille,2023-24,3000000.0
Ivan Cavaleiro,LOSC Lille,2023-24,2000000.0
Joffrey Bazié,LOSC Lille,2023-24,100000.0
Edon Zhegrova,LOSC Lille,2023-24,25000000.0
Adam Ounas,LOSC Lille,2023-24,4000000.0
Aaron Malouda,LOSC Lille,2023-24,150000.0
Ichem Ferrah,LOSC Lille,2023-24,100000.0
Adame Faïz,LOSC Lille,2023-24,
Jonathan David,LOSC Lille,2023-24,50000000.0
Andrej Ilic,LOSC Lille,2023-24,3000000.0
Amine Messoussa,LOSC Lille,2023-24,400000.0
Trévis Dago,LOSC Lille,2023-24,200000.0
Pau López,Olympique Marseille,2023-24,10000000.0
Rubén Blanco,Olympique Marseille,2023-24,2000000.0
Simon Ngapandouetnbu,Olympique Marseille,2023-24,300000.0
Jelle Van Neck,Olympique Marseille,2023-24,100000.0
Leonardo Balerdi,Olympique Marseille,2023-24,20000000.0
Chancel Mbemba,Olympique Marseille,2023-24,15000000.0
Samuel Gigot,Olympique Marseille,2023-24,9000000.0
Isaak Touré,Olympique Marseille,2023-24,7000000.0
Bamo Meïté,Olympique Marseille,2023-24,6000000.0
Roggerio Nyakossi,Olympique Marseille,2023-24,100000.0
Yakine Said M'Madi,Olympique Marseille,2023-24,100000.0
Stéphane Sparagna,Olympique Marseille,2023-24,50000.0
Renan Lodi,Olympique Marseille,2023-24,18000000.0
Quentin Merlin,Olympique Marseille,2023-24,10000000.0
Ulisses Garcia,Olympique Marseille,2023-24,4000000.0
Emran Soglo,Olympique Marseille,2023-24,1000000.0
Jonathan Clauss,Olympique Marseille,2023-24,12000000.0
Amir Murillo,Olympique Marseille,2023-24,4000000.0
Amay Caprice,Olympique Marseille,2023-24,100000.0
Léo Jousselin,Olympique Marseille,2023-24,
Brice Negouai,Olympique Marseille,2023-24,
Geoffrey Kondogbia,Olympique Marseille,2023-24,12000000.0
Jean Onana,Olympique Marseille,2023-24,4000000.0
Raimane Daou,Olympique Marseille,2023-24,150000.0
Noam Mayoka-Tika,Olympique Marseille,2023-24,50000.0
Mattéo Guendouzi,Olympique Marseille,2023-24,25000000.0
Jordan Veretout,Olympique Marseille,2023-24,15000000.0
Azzedine Ounahi,Olympique Marseille,2023-24,12000000.0
Valentin Rongier,Olympique Marseille,2023-24,12000000.0
Pape Gueye,Olympique Marseille,2023-24,6000000.0
Bilal Nadir,Olympique Marseille,2023-24,500000.0
Paolo Sciortino,Olympique Marseille,2023-24,100000.0
Gaël Lafont,Olympique Marseille,2023-24,
Luis Henrique,Olympique Marseille,2023-24,8000000.0
Alexandre Tunkadi,Olympique Marseille,2023-24,
Darryl Bakola,Olympique Marseille,2023-24,
Amine Harit,Olympique Marseille,2023-24,15000000.0
Ismaïla Sarr,Olympique Marseille,2023-24,18000000.0
Iliman Ndiaye,Olympique Marseille,2023-24,15000000.0
Cengiz Ünder,Olympique Marseille,2023-24,14000000.0
François Mughe,Olympique Marseille,2023-24,800000.0
Alexis Kabamba,Olympique Marseille,2023-24,
Keyliane Abdallah,Olympique Marseille,2023-24,
Joaquín Correa,Olympique Marseille,2023-24,6000000.0
Faris Moumbagna,Olympique Marseille,2023-24,10000000.0
Pierre-Emerick Aubameyang,Olympique Marseille,2023-24,5000000.0
Sofiane Sidi Ali,Olympique Marseille,2023-24,50000.0
Iuri Moreira,Olympique Marseille,2023-24,
Lucas Perri,Olympique Lyon,2023-24,6000000.0
Anthony Lopes,Olympique Lyon,2023-24,4000000.0
Mathieu Patouillet,Olympique Lyon,2023-24,400000.0
Justin Bengui,Olympique Lyon,2023-24,300000.0
Rémy Riou,Olympique Lyon,2023-24,250000.0
Duje Caleta-Car,Olympique Lyon,2023-24,7000000.0
Sinaly Diomandé,Olympique Lyon,2023-24,4000000.0
Adryelson,Olympique Lyon,2023-24,4000000.0
Clinton Mata,Olympique Lyon,2023-24,4000000.0
Dejan Lovren,Olympique Lyon,2023-24,1200000.0
Mamadou Sarr,Olympique Lyon,2023-24,1000000.0
Nicolás Tagliafico,Olympique Lyon,2023-24,8000000.0
Henrique Silva,Olympique Lyon,2023-24,1000000.0
Jake O'Brien,Olympique Lyon,2023-24,12000000.0
Ainsley Maitland-Niles,Olympique Lyon,2023-24,9000000.0
Saël Kumbedi,Olympique Lyon,2023-24,7000000.0
Orel Mangala,Olympique Lyon,2023-24,20000000.0
Johann Lepenant,Olympique Lyon,2023-24,6000000.0
Skelly Alvero,Olympique Lyon,2023-24,4000000.0
