Player,Squad,Pos,Min,Gls,Ast,xG,xA,npxG,xGChain,xGBuildup,Sh,KP,season
Mohamed Salah,Liverpool,FW,3392.0,29.0,18.0,27.70626749098301,15.858334187418222,20.855747912079096,48.53588879853487,16.20675839856267,130.0,89.0,2024-25
Alexander Isak,Newcastle United,FW,2822.0,23.0,6.0,22.356988068670034,5.44870379474014,19.312312599271536,26.209551103413105,3.579237926751375,99.0,42.0,2024-25
Erling Haaland,Manchester City,FW,2749.0,22.0,3.0,23.95459282770753,3.5812273556366563,20.909917432814837,22.845245644450188,3.5353690683841705,109.0,29.0,2024-25
Chris Wood,Nottingham Forest,FW,3024.0,20.0,3.0,15.638655036687851,3.044111367315054,13.355148404836655,14.72016467526555,1.6692094188183546,68.0,22.0,2024-25
Bryan Mbeumo,Brentford,FW,3419.0,20.0,7.0,13.63216146454215,10.376488702371716,9.06514835730195,24.377113293856382,9.351834732107818,86.0,70.0,2024-25
Yoane Wissa,Brentford,FW,2943.0,18.0,4.0,20.731059528887272,3.4494741149246693,20.731059528887272,27.726778712123632,5.426989254541695,90.0,28.0,2024-25
Ollie Watkins,Aston Villa,FW,2666.0,16.0,8.0,18.632458329200745,3.87640418484807,17.11012053489685,18.900541841983795,3.2909299470484257,84.0,25.0,2024-25
Matheus Cunha,Wolverhampton Wanderers,FW,2617.0,15.0,6.0,8.446298986673355,7.411126339808106,8.446298986673355,18.023087229579687,7.101435688324273,110.0,56.0,2024-25
Cole Palmer,Chelsea,MF,3228.0,15.0,8.0,15.77423645183444,12.954366408288479,11.968392122536898,29.99983731843531,9.8022615686059,126.0,87.0,2024-25
Jean-Philippe Mateta,Crystal Palace,FW,2690.0,14.0,2.0,15.83262430690229,3.85278513841331,14.31028657220304,18.602611111477017,3.6145096691325307,69.0,29.0,2024-25
Jørgen Strand Larsen,Wolverhampton Wanderers,FW,2624.0,14.0,4.0,11.689683858305216,3.358626527711749,11.689683858305216,16.568026771768928,3.4464203380048275,54.0,19.0,2024-25
Jarrod Bowen,West Ham,FW,2993.0,13.0,8.0,9.816103929653764,7.633318647742271,9.054935092106462,15.45670910179615,3.2645750464871526,87.0,50.0,2024-25
Luis Díaz,Liverpool,FW,2433.0,13.0,5.0,12.3563298471272,6.245185255073011,12.3563298471272,27.060918375849724,10.240967989899218,71.0,56.0,2024-25
Raúl Jiménez,Fulham,FW,2531.0,12.0,3.0,14.405358291231096,4.079181319102645,12.121851704083383,17.43132229242474,5.398588978685439,96.0,25.0,2024-25
Justin Kluivert,Bournemouth,MF,2390.0,12.0,6.0,10.441609976813197,5.512896118685603,5.87459684535861,15.81588026881218,6.402966948226094,63.0,44.0,2024-25
Liam Delap,Ipswich,FW,2671.0,12.0,2.0,11.930982023477554,2.784454360604286,10.40864434838295,14.707014501094818,3.1533351335674524,68.0,20.0,2024-25
Kevin Schade,Brentford,FW,2332.0,11.0,2.0,9.467997699975967,3.714522727765143,9.467997699975967,15.767545722424984,4.10542070120573,55.0,23.0,2024-25
Brennan Johnson,Tottenham,FW,2178.0,11.0,3.0,11.162618312984705,2.948688331991434,11.162618312984705,16.477571818977594,3.7468922175467014,54.0,19.0,2024-25
Antoine Semenyo,Bournemouth,FW,3219.0,11.0,5.0,14.549346312880516,6.608794005587697,14.549346312880516,26.17976476252079,7.88416787609458,126.0,46.0,2024-25
Danny Welbeck,Brighton,FW,2152.0,10.0,4.0,10.456029083579779,2.076795544475317,9.694860246032476,15.517961982637644,5.872543508186936,59.0,23.0,2024-25
João Pedro,Brighton,FW,1975.0,10.0,6.0,8.863604867830873,5.618519173935056,5.0577606651932,15.910436924546957,7.6452163346111774,47.0,30.0,2024-25
Nicolas Jackson,Chelsea,FW,2294.0,10.0,5.0,13.834070887416601,3.47239719517529,13.834070887416601,16.895098600536585,3.0802767761051655,76.0,28.0,2024-25
Kaoru Mitoma,Brighton,FW,2608.0,10.0,4.0,10.222694747149944,4.949204979464412,10.222694747149944,21.407055608928204,8.427826434373856,57.0,37.0,2024-25
Cody Gakpo,Liverpool,FW,1970.0,10.0,4.0,8.601265830919147,6.257204940542579,8.601265830919147,22.09034220688045,8.677158913575113,57.0,38.0,2024-25
Evanilson,Bournemouth,FW,2376.0,10.0,1.0,13.714270060881972,1.9151847725734115,12.953101200982928,15.386878173798323,2.785225234925747,73.0,25.0,2024-25
Alex Iwobi,Fulham,FW,3023.0,9.0,6.0,5.021547559648752,8.458939167670906,5.021547559648752,21.47882725391537,10.64560728892684,68.0,58.0,2024-25
Jamie Vardy,Leicester,FW,2890.0,9.0,4.0,12.219386659562588,3.737534761428833,10.697048958390951,14.040310747921467,0.9949070662260056,58.0,19.0,2024-25
Dominic Solanke,Tottenham,FW,2220.0,9.0,3.0,12.416034620255232,2.4611449129879475,11.65486578270793,16.30166282877326,4.277167193591595,60.0,14.0,2024-25
Kai Havertz,Arsenal,FW,1880.0,9.0,3.0,11.830620590597391,2.9488715566694736,11.830620590597391,16.01736629009247,4.696250442415476,53.0,17.0,2024-25
Harvey Barnes,Newcastle United,FW,1740.0,9.0,4.0,7.695071091875434,4.351620296947658,7.695071091875434,13.820457808673382,3.1923213340342045,63.0,24.0,2024-25
James Maddison,Tottenham,MF,1851.0,9.0,7.0,5.8936047330498695,6.016693122684956,5.8936047330498695,15.656851299107075,7.841132877394557,39.0,42.0,2024-25
Tomas Soucek,West Ham,MF,2586.0,9.0,1.0,8.068854354321957,0.947371281683445,8.068854354321957,13.590047078207135,5.360286621376872,55.0,14.0,2024-25
Iliman Ndiaye,Everton,FW,2478.0,9.0,0.0,7.094870626926422,1.9087076298892498,5.572532966732979,11.509084429591894,5.190615847706795,37.0,18.0,2024-25
Bruno Fernandes,Manchester United,FW,3034.0,8.0,10.0,9.887796703726053,10.227527445182204,7.604290317744017,24.228133594617248,13.644698239862919,96.0,92.0,2024-25
Ismaila Sarr,Crystal Palace,FW,2738.0,8.0,6.0,12.308559328317642,10.056549122557044,12.308559328317642,24.235270714387298,7.3139182310551405,59.0,44.0,2024-25
Jacob Murphy,Newcastle United,FW,2443.0,8.0,11.0,6.590988090261817,9.341311557218432,6.590988090261817,18.842034708708525,4.910585891455412,43.0,41.0,2024-25
Leandro Trossard,Arsenal,FW,2569.0,8.0,7.0,8.742100939154625,7.04339361935854,8.742100939154625,18.95159810781479,7.050739685073495,72.0,43.0,2024-25
Gabriel Martinelli,Arsenal,FW,2310.0,8.0,4.0,9.213460259139538,5.264152456074953,9.213460259139538,16.827736772596836,4.392328556627035,56.0,40.0,2024-25
Amad Diallo Traore,Manchester United,FW,1887.0,8.0,6.0,4.74583822209388,4.755917379632592,4.74583822209388,12.264865227043629,5.410414909943938,47.0,49.0,2024-25
Eberechi Eze,Crystal Palace,FW,2635.0,8.0,8.0,9.876954596489668,7.019554221071303,8.354616891592741,18.762924566864967,8.675655025988817,102.0,58.0,2024-25
Beto,Everton,FW,1520.0,8.0,0.0,9.26681118644774,1.3863521181046963,9.26681118644774,8.315516548231244,1.1153167895972729,49.0,12.0,2024-25
Rodrigo Muniz,Fulham,FW,922.0,8.0,1.0,6.838322004303336,0.7810081988573074,6.838322004303336,7.69332305714488,1.7913423832505941,40.0,7.0,2024-25
Morgan Rogers,Aston Villa,FW,3191.0,8.0,10.0,8.216648440808058,8.145913934335113,8.216648440808058,21.380799420177937,8.901325047016144,55.0,51.0,2024-25
Son Heung-Min,Tottenham,FW,2135.0,7.0,9.0,7.906742995604873,9.04414401575923,6.384405327960849,18.78970428556204,6.860619023442268,57.0,51.0,2024-25
Mikel Merino,Arsenal,FW,1578.0,7.0,2.0,6.865131866186857,2.1651013009250164,6.865131866186857,11.007616562768817,5.772648703306913,38.0,17.0,2024-25
Phil Foden,Manchester City,FW,1770.0,7.0,2.0,6.184084575623274,5.382284659892321,6.184084575623274,13.734636969864368,5.446543112397194,54.0,44.0,2024-25
Dejan Kulusevski,Tottenham,FW,2391.0,7.0,4.0,5.52329240180552,6.502650566399097,5.52329240180552,16.012717846781015,5.773293157108128,47.0,64.0,2024-25
Morgan Gibbs-White,Nottingham Forest,MF,2868.0,7.0,8.0,6.140304567292333,6.105838568881154,6.140304567292333,17.928511697798967,10.13072724826634,61.0,51.0,2024-25
Omar Marmoush,Manchester City,FW,1195.0,7.0,0.0,5.649778325110674,2.676836894825101,5.649778325110674,9.663014598190784,2.601844636723399,49.0,15.0,2024-25
Dango Ouattara,Bournemouth,FW,2013.0,7.0,4.0,10.933680262416601,5.989504734054208,10.933680262416601,18.476627525873482,4.4393982803449035,62.0,35.0,2024-25
Noni Madueke,Chelsea,DF,2113.0,7.0,3.0,11.862219285219908,3.1217017397284508,11.862219285219908,18.66834883764386,6.725336389616132,80.0,33.0,2024-25
Jhon Durán,Aston Villa,FW,563.0,7.0,0.0,5.099582154303789,0.2346634343266487,5.099582154303789,5.687583016231656,1.4234060682356358,31.0,4.0,2024-25
Marcus Rashford,"Aston Villa,Manchester United",FW,1435.0,6.0,3.0,4.986043129116297,4.728895880281925,4.22487423196435,10.02566921338439,3.5098787005990744,35.0,27.0,2024-25
Mateo Kovacic,Manchester City,MF,2220.0,6.0,2.0,1.8060728069394827,3.685476559214294,1.8060728069394827,16.83304774388671,13.353065870702267,45.0,33.0,2024-25
Harry Wilson,Fulham,FW,1150.0,6.0,1.0,3.605708472430706,1.4601951194927096,3.605708472430706,6.673274612054229,2.516816926188767,43.0,20.0,2024-25
Diogo Jota,Liverpool,FW,1188.0,6.0,3.0,10.20619698613882,1.852303085848689,10.20619698613882,13.053022043779492,3.036761373281479,51.0,11.0,2024-25
Emile Smith-Rowe,Fulham,MF,2101.0,6.0,3.0,5.2616774663329124,2.434781737625599,5.2616774663329124,12.505846868269145,6.85691377799958,37.0,24.0,2024-25
Bukayo Saka,Arsenal,FW,1763.0,6.0,10.0,8.94342190399766,11.583731275051832,8.182253051549196,16.460995193570852,6.0235540214926,67.0,58.0,2024-25
Anthony Gordon,Newcastle United,FW,2474.0,6.0,5.0,9.196510776877403,4.824591662734747,7.674173064529896,15.255516607314348,6.296648159623146,59.0,51.0,2024-25
Anthony Elanga,Nottingham Forest,FW,2549.0,6.0,11.0,5.92288132570684,6.605899995192885,5.92288132570684,12.84948781132698,4.026209270581603,44.0,50.0,2024-25
Dominik Szoboszlai,Liverpool,FW,2519.0,6.0,6.0,7.00856670551002,7.858418172225356,7.00856670551002,27.468164574354887,15.59493687003851,68.0,57.0,2024-25
Alejandro Garnacho,Manchester United,FW,2176.0,6.0,2.0,9.43980634957552,3.4675094597041607,9.43980634957552,16.76700660586357,5.79347936809063,84.0,38.0,2024-25
Enzo Fernández,Chelsea,MF,2941.0,6.0,7.0,6.1332164872437716,7.737509123980999,6.1332164872437716,20.848417054861784,10.725481959059834,53.0,77.0,2024-25
Yankuba Minteh,Brighton,DF,1832.0,6.0,4.0,5.669837724417448,4.871835011057556,5.669837724417448,14.345422247424722,4.895437384024262,34.0,28.0,2024-25
Jordan Ayew,"Crystal Palace,Leicester",FW,1688.0,5.0,0.0,4.341383438557386,1.9064311189576983,3.580214601010084,5.810580421239138,2.694857061840594,33.0,17.0,2024-25
Nikola Milenkovic,Nottingham Forest,DF,3330.0,5.0,2.0,4.571180831640959,1.043909177184105,4.571180831640959,5.973378486931324,4.907668113708496,29.0,9.0,2024-25
