Player,Squad,Pos,Min,xG,xA,season
Harry Kane,Bayern Munich,FW,2400.0,24.83850298821926,5.889719098806381,2024-25
Patrik Schick,Bayer Leverkusen,FW,1675.0,13.808413846418262,0.8931068908423185,2024-25
Serhou Guirassy,Borussia Dortmund,FW,2608.0,24.67502747476101,3.927161391824484,2024-25
Jonathan Burkardt,Mainz 05,FW,2144.0,15.531241215765476,3.2260143337771297,2024-25
Tim Kleindienst,Borussia M.Gladbach,FW,2756.0,15.641376122832298,6.164368532598019,2024-25
Ermedin Demirovic,VfB Stuttgart,FW,1847.0,17.190185952931643,2.3308997359126806,2024-25
Omar Marmoush,Eintracht Frankfurt,FW,1471.0,10.454029858112335,6.4370531141757965,2024-25
Hugo Ekitike,Eintracht Frankfurt,FW,2623.0,23.090678934007883,7.497596137225628,2024-25
Benjamin Sesko,RasenBallsport Leipzig,FW,2436.0,10.84312501270324,2.5418332908302546,2024-25
Nick Woltemade,VfB Stuttgart,FW,1604.0,12.919283613562584,5.339851493015885,2024-25
Jamal Musiala,Bayern Munich,MF,1822.0,11.052295371890068,5.645927414298058,2024-25
Michael Olise,Bayern Munich,MF,2370.0,10.028207782655954,14.287162024527788,2024-25
Leroy Sané,Bayern Munich,MF,1638.0,10.864085894078016,6.123259458690882,2024-25
Andrej Kramaric,Hoffenheim,FW,2800.0,12.799855667166412,4.250613275915384,2024-25
Alassane Pléa,Borussia M.Gladbach,FW,1930.0,6.866865694522858,3.2658191584050655,2024-25
Shuto Machino,Holstein Kiel,FW,1901.0,8.25303456094116,2.2886266466230154,2024-25
Florian Wirtz,Bayer Leverkusen,FW,2365.0,10.05364241823554,8.316964589059353,2024-25
Xavi Simons,RasenBallsport Leipzig,MF,2171.0,6.223592175170779,6.1870312336832285,2024-25
Ritsu Doan,Freiburg,FW,2901.0,8.055666498839855,4.389358818531036,2024-25
Paul Nebel,Mainz 05,MF,2347.0,6.269156511873007,4.3142322562634945,2024-25
Jens Stage,Werder Bremen,MF,2215.0,7.943040877580643,3.238111473619938,2024-25
Mohammed Amoura,Wolfsburg,FW,2512.0,10.863602759316564,4.308450622484088,2024-25
Alexis Claude Maurice,Augsburg,FW,2160.0,4.652821511030197,1.2668815301731229,2024-25
Jonas Wind,Wolfsburg,FW,1966.0,6.339151995256543,4.765156495384872,2024-25
Deniz Undav,VfB Stuttgart,FW,1733.0,11.975074492394924,4.6570643819868565,2024-25
Loïs Openda,RasenBallsport Leipzig,FW,2489.0,10.03450933098793,3.7652690652757883,2024-25
Benedict Hollerbach,Union Berlin,FW,2594.0,9.080473525449634,2.390376001596451,2024-25
Marvin Ducksch,Werder Bremen,FW,2477.0,10.446885596960783,10.059994157403708,2024-25
Vincenzo Grifo,Freiburg,FW,2510.0,7.989085482433438,8.86034712381661,2024-25
Maximilian Beier,Borussia Dortmund,FW,1578.0,9.488328475505114,3.210040792822838,2024-25
Jamie Bynoe-Gittens,Borussia Dortmund,FW,1803.0,4.5964207872748375,3.4763143323361874,2024-25
Adam Hlozek,Hoffenheim,FW,1890.0,5.854527406394482,2.8081529047340155,2024-25
Victor Boniface,Bayer Leverkusen,FW,1031.0,9.102240042760968,1.1899061873555183,2024-25
Phil Harres,Holstein Kiel,FW,1461.0,6.069004004821181,1.687046148814261,2024-25
Nadiem Amiri,Mainz 05,MF,2501.0,5.710457522422075,8.261441332288086,2024-25
Serge Gnabry,Bayern Munich,FW,1216.0,8.36918669193983,5.2104566488415,2024-25
Marius Bülter,Hoffenheim,FW,1772.0,3.648140865378082,3.039690352976322,2024-25
Myron Boadu,Bochum,FW,999.0,8.229468438774347,1.6477082949131727,2024-25
Jae-Sung Lee,Mainz 05,MF,2711.0,6.852779902517796,4.826654347591102,2024-25
Karim Adeyemi,Borussia Dortmund,FW,1462.0,5.742135550826788,7.36732954531908,2024-25
Phillip Tietz,Augsburg,FW,1683.0,6.620653829537332,1.4810154465958476,2024-25
Marvin Pieringer,FC Heidenheim,FW,2253.0,9.497590685263276,5.089528257027268,2024-25
Andrej Ilic,Union Berlin,FW,954.0,5.666820885613561,0.34208700992166996,2024-25
Samuel Essende,Augsburg,FW,1668.0,5.770508166402578,1.7677066437900066,2024-25
Alexander Bernhardsson,Holstein Kiel,FW,1288.0,3.9813356306403875,1.6960009150207043,2024-25
Lucas Höler,Freiburg,FW,1867.0,11.579248806461692,3.0513127334415913,2024-25
Enzo Millot,VfB Stuttgart,MF,1863.0,8.739531425759196,2.9312736243009567,2024-25
Tiago Tomás,Wolfsburg,FW,1919.0,5.56389169767499,2.606959294527769,2024-25
Morgan Guilavogui,St. Pauli,FW,1828.0,8.65836637839675,3.0779383797198534,2024-25
Marco Grüll,Werder Bremen,FW,1189.0,4.213682193309069,2.0658823987469077,2024-25
Mitchell Weiser,Werder Bremen,DF,2874.0,5.540983958169818,6.046214004978538,2024-25
Kingsley Coman,Bayern Munich,MF,1276.0,4.042191399261355,4.258397921919823,2024-25
Julian Brandt,Borussia Dortmund,MF,2354.0,4.579855159856379,9.031145641580224,2024-25
Oliver Burke,Werder Bremen,FW,872.0,5.17337729409337,1.484443936496973,2024-25
Willi Orban,RasenBallsport Leipzig,DF,2228.0,5.2368409894406796,1.062859384343028,2024-25
Lukas Kübler,Freiburg,DF,1864.0,2.8583033233880997,0.7445640284568071,2024-25
Steven Skrzybski,Holstein Kiel,FW,1313.0,3.263728693127632,3.969407096039504,2024-25
Armin Gigovic,Holstein Kiel,MF,1900.0,1.9713275507092476,2.4431175496429205,2024-25
Romano Schmid,Werder Bremen,MF,2856.0,4.85783976316452,6.564444359391928,2024-25
Jeremie Frimpong,Bayer Leverkusen,DF,2335.0,5.46559808216989,4.449963368475437,2024-25
Tom Bischof,Hoffenheim,MF,2593.0,2.185795512981713,4.426293452270329,2024-25
Rasmus Kristensen,Eintracht Frankfurt,DF,2520.0,3.010503049939871,4.46722864639014,2024-25
Mathias Honsak,FC Heidenheim,FW,1164.0,2.7486824057996273,1.1526490207761526,2024-25
Matús Bero,Bochum,MF,2488.0,5.083340181037784,4.167451893910766,2024-25
Leon Goretzka,Bayern Munich,MF,1303.0,3.44148750603199,1.7927624322474003,2024-25
Franck Honorat,Borussia M.Gladbach,FW,1478.0,4.034103916957974,6.732902622781694,2024-25
Raphael Guerreiro,Bayern Munich,DF,1595.0,2.806145377457142,3.317242281511426,2024-25
Robin Hack,Borussia M.Gladbach,FW,2227.0,4.968895967118442,4.546078447252512,2024-25
Bote Baku,"RasenBallsport Leipzig,Wolfsburg",FW,2468.0,3.031186076812446,2.8024442084133625,2024-25
Ansgar Knauff,Eintracht Frankfurt,FW,1623.0,5.238380121067166,5.401509422808886,2024-25
Felix Nmecha,Borussia Dortmund,MF,1519.0,1.0889532221481204,1.5874149296432734,2024-25
Adrian Beck,FC Heidenheim,FW,1602.0,4.206237935461104,1.8471641726791859,2024-25
Jan Schöppner,FC Heidenheim,MF,2700.0,3.9482625760138035,2.9500198028981686,2024-25
Gift Orban,Hoffenheim,FW,679.0,3.2778258975595236,0.14768980164080858,2024-25
Can Uzun,Eintracht Frankfurt,MF,637.0,3.4531076848506927,0.9417958408594131,2024-25
Maximilian Arnold,Wolfsburg,MF,2356.0,1.1958508677780628,4.061138896271586,2024-25
Jonathan Tah,Bayer Leverkusen,DF,2970.0,1.1589150372892618,0.2743085101246834,2024-25
Joshua Kimmich,Bayern Munich,DF,2843.0,2.185599143616855,11.342593856155872,2024-25
Mario Götze,Eintracht Frankfurt,FW,1564.0,2.9721628725528717,3.8528485130518675,2024-25
Emre Can,Borussia Dortmund,DF,2084.0,1.8707446567714214,0.5918053798377514,2024-25
Aleix García,Bayer Leverkusen,MF,1438.0,0.8498970614746213,5.045784663408995,2024-25
Michy Batshuayi,Eintracht Frankfurt,FW,288.0,1.3108754754066467,0.03600633889436722,2024-25
Jacob Bruun Larsen,"Hoffenheim,VfB Stuttgart",FW,767.0,3.3622511457651854,1.9078765753656626,2024-25
Johannes Eggestein,St. Pauli,FW,1890.0,5.848114471882582,2.1683141449466348,2024-25
Robin Koch,Eintracht Frankfurt,DF,2595.0,2.037737676873803,0.2323272405192256,2024-25
Lukas Nmecha,Wolfsburg,FW,427.0,4.476938123814762,0.21524709835648537,2024-25
Mattias Svanberg,Wolfsburg,MF,1232.0,4.231742708012462,2.277713842689991,2024-25
Kevin Stöger,Borussia M.Gladbach,MF,1531.0,4.505672687664628,5.05398212838918,2024-25
Woo-Yeong Jeong,Union Berlin,FW,1308.0,2.6452455278486013,1.5804441962391138,2024-25
Keven Schlotterbeck,Augsburg,DF,1290.0,1.0583716183900833,0.6174594163894653,2024-25
Julian Chabot,VfB Stuttgart,DF,2285.0,2.8814538531005383,0.8693449972197413,2024-25
Felix Agu,Werder Bremen,DF,1786.0,2.230589810758829,2.0775875598192215,2024-25
Joakim Maehle,Wolfsburg,DF,2187.0,2.742252243682742,2.2128251316025853,2024-25
Patrick Wimmer,Wolfsburg,FW,1815.0,4.3263805359601974,3.0010927617549896,2024-25
Donyell Malen,Borussia Dortmund,DF,602.0,3.2217883467674255,0.3619210720062256,2024-25
Paul Wanner,FC Heidenheim,FW,1796.0,4.244851130992174,1.4708796814084053,2024-25
Tom Rothe,Union Berlin,DF,1679.0,2.0692028012126684,1.5009428430348635,2024-25
Justin Njinmah,Werder Bremen,FW,927.0,4.510545656085014,1.7561358297243714,2024-25
Ko Itakura,Borussia M.Gladbach,DF,2790.0,1.6429097075015306,1.09031742811203,2024-25
Philipp Hofmann,Bochum,FW,2257.0,4.961120470426977,4.690533764660358,2024-25
Nelson Weiper,Mainz 05,FW,685.0,4.8523288406431675,2.2069317772984505,2024-25
Hugo Larsson,Eintracht Frankfurt,MF,2419.0,3.0575626865029335,1.6888380870223045,2024-25
Antonio Nusa,RasenBallsport Leipzig,FW,1543.0,1.9256633874028921,3.3718086406588554,2024-25
Elias Saad,St. Pauli,FW,906.0,2.7371819969266653,1.1837855270132422,2024-25
Oladapo Afolayan,St. Pauli,FW,1644.0,3.0679571889340878,3.728218238800764,2024-25
Léo Scienza,FC Heidenheim,FW,1154.0,2.2589838448911905,4.22474249266088,2024-25
Haris Tabakovic,Hoffenheim,FW,789.0,4.058871641755104,1.7171009220182896,2024-25
Nathaniel Brown,Eintracht Frankfurt,DF,1964.0,2.4949194453656673,6.540987821295857,2024-25
Pavel Kaderábek,Hoffenheim,DF,1568.0,0.7855275487527251,1.891483798623085,2024-25
Waldemar Anton,Borussia Dortmund,DF,1940.0,1.876587314531207,1.1188903953880072,2024-25
Maximilian Eggestein,Freiburg,MF,2877.0,2.7688491884618998,1.511209450662136,2024-25
Michael Gregoritsch,Freiburg,FW,602.0,1.9820730350911617,0.2638327647000551,2024-25
Granit Xhaka,Bayer Leverkusen,MF,2905.0,0.8061828929930925,4.030918525531888,2024-25
Leonardo Bittencourt,Werder Bremen,MF,954.0,1.8689279910176992,1.6297570504248142,2024-25
Dominik Kohr,Mainz 05,DF,2321.0,1.8736225431784987,0.5377052072435617,2024-25
Matthias Ginter,Freiburg,DF,2549.0,4.017321763560176,1.2374000921845436,2024-25
Jonas Hofmann,Bayer Leverkusen,MF,354.0,1.092762865126133,0.41216220520436764,2024-25
