Player,Squad,Pos,Min,xG,xA,season
Erling Haaland,Manchester City,FW,2581.0,31.65399668365717,4.7517555598169565,2023-24
Cole Palmer,"Chelsea,Manchester City",FW,2640.0,17.83224501274526,11.869294486939907,2023-24
Alexander Isak,Newcastle United,FW,2305.0,22.07426631450653,3.6520401313900948,2023-24
Dominic Solanke,Bournemouth,FW,3346.0,21.40683087334037,3.5437498800456524,2023-24
Phil Foden,Manchester City,FW,2895.0,11.307983005419374,8.51623285189271,2023-24
Ollie Watkins,Aston Villa,FW,3250.0,19.26459836959839,7.745744535699487,2023-24
Mohamed Salah,Liverpool,FW,2556.0,21.941274393349886,12.332044444978237,2023-24
Son Heung-Min,Tottenham,FW,2989.0,12.978620901703835,13.341020658612251,2023-24
Jarrod Bowen,West Ham,FW,3026.0,13.498636420816183,6.437707958742976,2023-24
Jean-Philippe Mateta,Crystal Palace,FW,2303.0,12.290523625910282,3.52706278860569,2023-24
Bukayo Saka,Arsenal,FW,2990.0,16.807056225836277,11.325986489653587,2023-24
Chris Wood,Nottingham Forest,FW,1797.0,13.364272002130747,1.987032251432538,2023-24
Nicolas Jackson,Chelsea,FW,2818.0,19.860593939200044,5.2836981769651175,2023-24
Kai Havertz,Arsenal,FW,2651.0,13.465729914605618,5.814370539039373,2023-24
Yoane Wissa,Brentford,FW,2556.0,11.16999962553382,3.828521143645048,2023-24
Matheus Cunha,Wolverhampton Wanderers,FW,2499.0,10.229120277799666,3.920058634132147,2023-24
Leandro Trossard,Arsenal,FW,1649.0,9.575767548754811,3.252073733136058,2023-24
Hee-Chan Hwang,Wolverhampton Wanderers,FW,2154.0,8.681871520355344,3.1403315979987383,2023-24
Richarlison,Tottenham,FW,1511.0,9.619059151038527,1.9676255472004414,2023-24
Anthony Gordon,Newcastle United,FW,2956.0,11.293779235333204,8.833045985549688,2023-24
Eberechi Eze,Crystal Palace,FW,2097.0,9.37310928851366,6.844833366572857,2023-24
Darwin Núñez,Liverpool,FW,2037.0,19.187851031310856,5.950456521473825,2023-24
Julián Álvarez,Manchester City,FW,2682.0,14.373571239411831,5.823111834935844,2023-24
Carlton Morris,Luton,FW,2879.0,12.306741118431091,3.6919509368017316,2023-24
Bruno Fernandes,Manchester United,FW,3121.0,10.746266636997461,13.15852378681302,2023-24
Leon Bailey,Aston Villa,FW,2112.0,6.4655649326741695,10.299157902598381,2023-24
Diogo Jota,Liverpool,FW,1164.0,6.724682793021202,3.19649357162416,2023-24
Michael Olise,Crystal Palace,FW,1281.0,5.6874131839722395,5.196664724498987,2023-24
Rasmus Højlund,Manchester United,FW,2210.0,9.338883213698864,1.779460173100233,2023-24
