Player,Squad,Pos,Min,xG,xA,season
Kylian Mbappe-Lottin,Real Madrid,FW,2938.0,30.135635502636433,9.394114961847663,2024-25
Robert Lewandowski,Barcelona,FW,2716.0,29.414338618516922,2.4752993676811457,2024-25
Ante Budimir,Osasuna,FW,3008.0,20.66943975351751,1.8783285655081272,2024-25
Alexander Sørloth,Atletico Madrid,FW,1525.0,20.454832896590233,1.304560586810112,2024-25
Ayoze Pérez,Villarreal,FW,1987.0,15.228042975068092,3.1279250010848045,2024-25
Raphinha,Barcelona,FW,2862.0,19.265995418652892,13.527044044807553,2024-25
Julián Álvarez,Atletico Madrid,FW,2543.0,14.1592972795479,6.458727004006505,2024-25
Oihan Sancet,Athletic Club,FW,1645.0,10.459016836248338,1.8577970825135708,2024-25
Kike García,Alaves,FW,2571.0,10.712679820135236,0.7632435280829668,2024-25
Javi Puado,Espanyol,FW,3023.0,11.94582846853882,2.969266129657626,2024-25
Cristhian Stuani,Girona,FW,998.0,8.713445205241442,0.42860953137278557,2024-25
Borja Iglesias,Celta Vigo,FW,1968.0,11.553197539411485,3.1776098990812898,2024-25
Dodi Lukebakio,Sevilla,FW,3117.0,9.242684002034366,5.390696790069342,2024-25
Hugo Duro,Valencia,FW,2180.0,10.968763902783394,1.450842097401619,2024-25
Vinícius Júnior,Real Madrid,FW,2267.0,12.775075949728489,8.639302698895335,2024-25
Thierno Barry,Villarreal,FW,2322.0,15.059573616832495,3.666274566203356,2024-25
Iago Aspas,Celta Vigo,FW,1751.0,8.271357234567404,4.823453789576888,2024-25
Mauro Arambarri,Getafe,FW,2670.0,9.48172677308321,0.6496659852564335,2024-25
Ferrán Torres,Barcelona,FW,1093.0,9.682402739301324,3.556156000122428,2024-25
Dani Olmo,Barcelona,MF,1221.0,6.638132888823748,3.851693106815219,2024-25
Fabio Silva,Las Palmas,FW,1902.0,9.277339147403836,2.487750245258212,2024-25
Mikel Oyarzabal,Real Sociedad,FW,2291.0,10.296421762555838,2.9014988150447607,2024-25
Isco,Real Betis,MF,1565.0,8.83439864218235,5.053291022777557,2024-25
Sandro Ramírez,Las Palmas,FW,2086.0,4.299026200547814,3.498643457889557,2024-25
Jude Bellingham,Real Madrid,MF,2510.0,13.084144294261932,4.306040400639176,2024-25
Lamine Yamal,Barcelona,FW,2879.0,11.593033526092768,14.466477727517486,2024-25
Antoine Griezmann,Atletico Madrid,FW,2514.0,8.413829022087157,8.116289479658008,2024-25
Raba,Leganes,FW,1925.0,7.210522370878607,6.12695131637156,2024-25
Giovani Lo Celso,Real Betis,MF,1437.0,4.725559396669269,4.672125656157732,2024-25
Diego López,Valencia,FW,2839.0,6.927521674893796,5.98000256344676,2024-25
Gorka Guruzeta,Athletic Club,FW,1856.0,6.789272961206734,1.4514029724523425,2024-25
Álex Baena,Villarreal,FW,2639.0,7.195329947397113,12.612854413688183,2024-25
Vedat Muriqi,Mallorca,FW,2081.0,10.985502218827605,2.6997383255511522,2024-25
Cyle Larin,Mallorca,FW,1781.0,7.244329610839486,1.5815904028713703,2024-25
Iñaki Williams,Athletic Club,FW,2659.0,10.159808551892638,8.788650624454021,2024-25
Alex Berenguer,Athletic Club,FW,2381.0,7.480133118107915,6.045956780202687,2024-25
Federico Valverde,Real Madrid,DF,3035.0,2.51164136454463,4.406744165346026,2024-25
Rodrygo,Real Madrid,FW,1965.0,4.724242024123669,4.003597529605031,2024-25
Jorge De Frutos,Rayo Vallecano,FW,2573.0,7.007565116509795,4.134156552609056,2024-25
Fermín López,Barcelona,MF,1224.0,4.756551628932357,4.712301393970847,2024-25
Alberto Moleiro,Las Palmas,FW,2765.0,5.749200511723757,3.676157739944756,2024-25
Roberto Fernández,Espanyol,FW,1537.0,3.2452549929730594,0.8934735935181379,2024-25
Umar Sadiq,"Real Sociedad,Valencia",FW,1040.0,4.483702819794416,0.8914264300838113,2024-25
Joan Jordán,Alaves,MF,1397.0,4.2784636076539755,2.1695005875080824,2024-25
Rubén García,Osasuna,FW,2481.0,2.8201384283602238,5.068325296510011,2024-25
Borja Mayoral,Getafe,FW,1064.0,4.096165407449007,1.3159064333885908,2024-25
Mamadou Sylla,Real Valladolid,FW,1569.0,4.97304823808372,0.9637680817395449,2024-25
Juan Cruz,Leganes,FW,2292.0,2.7526479018852115,4.149010988883674,2024-25
Juan Camilo Hernández,Real Betis,FW,1172.0,4.771737363189459,1.6117898169904947,2024-25
Takefusa Kubo,Real Sociedad,FW,2392.0,4.2247374802827835,5.490435244515538,2024-25
Aimar Oroz,Osasuna,FW,3027.0,4.505093781277537,4.083869905211031,2024-25
Nico Williams,Athletic Club,MF,1994.0,4.596975972875953,4.1709328312426805,2024-25
Alfon,Celta Vigo,FW,1382.0,4.900045620277524,3.2016264870762825,2024-25
Antony,Real Betis,MF,1372.0,2.7814827393740416,4.681491408497095,2024-25
Carlos Vicente,Alaves,FW,3114.0,3.139239792712033,6.42431272752583,2024-25
Munir,Leganes,FW,844.0,1.4313753638416529,0.7138976156711578,2024-25
Ángel Correa,Atletico Madrid,FW,721.0,5.39614194072783,2.083751233294606,2024-25
Leandro Cabrera,Espanyol,DF,2878.0,1.607494529336691,0.9267808236181736,2024-25
Antonio Martínez,Alaves,FW,965.0,3.818366212770343,0.6796954162418842,2024-25
Brahim Diaz,Real Madrid,FW,1368.0,6.341729912906885,3.2998767849057913,2024-25
Dani Vivian,Athletic Club,DF,2590.0,2.3003999516367912,0.6736323088407516,2024-25
Santiago Comesaña,Villarreal,MF,2597.0,4.7903942577540874,2.9417879972606897,2024-25
Álvaro García,Rayo Vallecano,FW,2581.0,7.53607615083456,5.74425695091486,2024-25
Yangel Herrera,Girona,MF,2293.0,4.82616575434804,2.4068149104714394,2024-25
Abel Ruiz,Girona,FW,1383.0,4.9005944691598415,0.43941837549209595,2024-25
Dani Rodríguez,Mallorca,FW,2207.0,3.405790278688073,4.1755089005455375,2024-25
Luis Rioja,"Alaves,Valencia",DF,2898.0,3.9541624961420894,4.479461559094489,2024-25
Raul García,Osasuna,FW,673.0,3.332692926749587,0.6854467298835516,2024-25
Arnaut Danjuma Groeneveld,"Girona,Villarreal",FW,1562.0,4.417052231729031,2.2786391004920006,2024-25
Juanlu Sanchez,Sevilla,FW,1740.0,2.9181873984634876,2.713099295273423,2024-25
Raul Moro,Real Valladolid,FW,2352.0,4.517319541424513,5.584715690463781,2024-25
Pape Alassane Gueye,Villarreal,FW,2246.0,3.8907218649983406,1.5439291521906853,2024-25
Pedri,Barcelona,MF,2941.0,2.5104309488087893,7.80679078027606,2024-25
Óscar Mingueza,Celta Vigo,DF,2761.0,2.1649911515414715,5.681514337658882,2024-25
Yeremi Pino,Villarreal,MF,1984.0,3.9810118712484837,5.7880224250257015,2024-25
Isi Palazón,Rayo Vallecano,FW,2166.0,5.376986410468817,4.5106864450499415,2024-25
Pathé Ciss,Rayo Vallecano,DF,2166.0,2.5608618520200253,1.4429276585578918,2024-25
Hugo Álvarez,Celta Vigo,DF,1572.0,2.689221888780594,1.5981045421212912,2024-25
Williot Swedberg,Celta Vigo,FW,1329.0,5.415778731927276,2.35014989040792,2024-25
Ramón Terrats,"Getafe,Villarreal",FW,1356.0,2.913407781161368,3.267416248098016,2024-25
Pablo Durán,Celta Vigo,FW,1393.0,3.0955340694636106,3.1764622405171394,2024-25
Vitor Roque,Real Betis,FW,1252.0,6.066845575347543,1.750490065664053,2024-25
Isaac Romero,Sevilla,FW,2200.0,8.177621133625507,2.5907919127494097,2024-25
Christantus Uche,Getafe,FW,2542.0,3.5409127213060856,4.277017377316952,2024-25
Rodrigo de Paul,Atletico Madrid,MF,2137.0,1.467378824017942,5.930679908953607,2024-25
Marcos Alonso,Celta Vigo,DF,2660.0,4.144722926430404,1.8526116041466594,2024-25
Oliver McBurnie,Las Palmas,FW,1835.0,6.037325001321733,3.4504245165735483,2024-25
Gerard Moreno,Villarreal,FW,698.0,3.90459007024765,3.8606379739940166,2024-25
Daniel Parejo,Villarreal,MF,2279.0,2.6434455886483192,1.2766990754753351,2024-25
Unai López,Rayo Vallecano,MF,1740.0,1.5628475891426206,0.9076807517558336,2024-25
Pere Milla,Espanyol,MF,402.0,1.566716724075377,0.3911232464015484,2024-25
Álex Muñoz,Las Palmas,DF,1443.0,1.1511703273281455,0.5306877195835114,2024-25
Jon Guridi,Alaves,FW,2149.0,4.341560154221952,1.142053421586752,2024-25
Nicolas Pepe,Villarreal,FW,1483.0,5.282411629334092,5.504750292748213,2024-25
Brais Méndez,Real Sociedad,FW,1552.0,4.05005325563252,2.2719360133633018,2024-25
Marash Kumbulla,Espanyol,DF,2981.0,2.694772657006979,0.28680863976478577,2024-25
Lucas Torró,Osasuna,MF,2983.0,2.6740165650844574,0.9804754853248596,2024-25
Bryan Gil Salvatierra,Girona,FW,1769.0,2.3540807403624058,2.9273234866559505,2024-25
Sergio Camello,Rayo Vallecano,FW,1150.0,3.9392457250505686,2.3095762208104134,2024-25
Carles Pérez,Getafe,MF,1438.0,3.4532571025192738,1.2140490878373384,2024-25
Martin Valjent,Mallorca,DF,2773.0,0.9961849488317966,0.12438401952385902,2024-25
Aitor Paredes,Athletic Club,DF,1828.0,2.492131467908621,0.0571863129734993,2024-25
Conor Gallagher,Atletico Madrid,MF,1637.0,3.0007524248212576,1.3112464919686317,2024-25
Randy Nteka,Rayo Vallecano,FW,1151.0,3.335105416364968,0.764602230861783,2024-25
Jofre Carreras,Espanyol,DF,2217.0,3.1961388355121017,2.4950880901888013,2024-25
Javier Guerra,Valencia,FW,2642.0,2.3096360610798,3.4588873218744993,2024-25
Kike Salas,Sevilla,DF,2238.0,2.17479966301471,0.7522149085998535,2024-25
Juan Latasa,Real Valladolid,FW,1376.0,4.549709668383002,0.5770094022154808,2024-25
Samuel Lino,Atletico Madrid,FW,1580.0,6.083708981052041,3.475868873298168,2024-25
Pablo Torre,Barcelona,MF,302.0,0.29547323286533356,0.9360514245927334,2024-25
Selim Amallah,Real Valladolid,FW,1405.0,2.619664514437318,1.3254356244578958,2024-25
Tasos Douvikas,Celta Vigo,FW,690.0,5.104495842941105,0.22988490760326385,2024-25
Javier Rodríguez,Celta Vigo,DF,2490.0,2.7139997631311417,1.1402707807719707,2024-25
Arda Güler,Real Madrid,FW,1252.0,3.9991090446710587,6.170168276876211,2024-25
Johnny Cardoso,Real Betis,MF,2147.0,2.672853760421276,0.7338516805320978,2024-25
Seydouba Cissé,Leganes,MF,2494.0,2.2893198179081082,0.8812172105535865,2024-25
Diego García,Leganes,FW,1171.0,4.401241090148687,0.25502479542046785,2024-25
Pedro Díaz,Rayo Vallecano,MF,1199.0,2.7055065194144845,2.281998419202864,2024-25
Yáser Asprilla,Girona,FW,1392.0,1.9813351966440678,3.059433316811919,2024-25
Orri Óskarsson,Real Sociedad,FW,929.0,5.614245757460594,0.17334534134715796,2024-25
Adnan Januzaj,Las Palmas,FW,563.0,0.991336464881897,1.1676771398633718,2024-25
Diego Llorente,Real Betis,DF,2521.0,1.8447644673287868,0.3692819196730852,2024-25
Luka Modric,Real Madrid,MF,1774.0,1.616865310817957,7.897417606785893,2024-25
Cédric Bakambu,Real Betis,FW,661.0,3.758650738745928,0.8444724157452583,2024-25
Pablo Fornals,Real Betis,MF,1876.0,1.9425642574205995,3.0682716201990843,2024-25
Marc Bartra,Real Betis,DF,2101.0,1.374250773806125,0.14252412505447865,2024-25
Marcos Llorente,Atletico Madrid,DF,2515.0,0.6808289606124163,3.794648887589574,2024-25
Pepelu,Valencia,MF,1691.0,1.9522302066907287,2.569384957663715,2024-25
Raíllo,Mallorca,DF,3211.0,2.7986418372020125,1.8868699930608273,2024-25
Sergi Darder,Mallorca,MF,2811.0,1.8862759750336409,4.959239151328802,2024-25
Djibril Sow,Sevilla,MF,2095.0,2.67853897344321,2.0170963145792484,2024-25
Iván Sánchez,Real Valladolid,FW,1365.0,0.6651053056120872,2.8943237783387303,2024-25
Clement Lenglet,Atletico Madrid,DF,1987.0,2.1961113438010216,0.9537689723074436,2024-25
Florian Lejeune,Rayo Vallecano,DF,3329.0,3.5845931470394135,1.934357212856412,2024-25
Marc Roca,Real Betis,MF,912.0,1.1071439906954765,1.497680176049471,2024-25
Mouctar Diakhaby,Valencia,DF,641.0,1.3182655852288008,0.020482083782553673,2024-25
Takuma Asano,Mallorca,FW,1071.0,2.957052057608962,0.93105398863554,2024-25
Jules Koundé,Barcelona,DF,2606.0,2.743822293356061,4.134010413661599,2024-25
Romain Perraud,Real Betis,DF,2005.0,0.5968651231378317,1.9413560284301639,2024-25
