Player,Squad,Pos,Min,xG,xA,season
Mason Greenwood,Marseille,FW,2851.0,19.282766986638308,6.826588124036789,2024-25
Ousmane Dembélé,Paris Saint Germain,FW,1747.0,18.535317128524184,8.801493115723133,2024-25
Arnaud Kalimuendo Muinga,Rennes,FW,2630.0,17.98014777339995,2.8822443578392267,2024-25
Jonathan Christian David,Lille,FW,2535.0,19.4547688215971,4.703816022723913,2024-25
Alexandre Lacazette,Lyon,FW,2092.0,18.005544029176235,3.7847248455509543,2024-25
Bradley Barcola,Paris Saint Germain,FW,2223.0,15.342696774750948,9.934232400730252,2024-25
Emanuel Emegha,Strasbourg,FW,2331.0,17.624735414981842,1.9993709102272987,2024-25
Amine Gouiri,"Marseille,Rennes",FW,2122.0,10.690865226089954,4.560859004035592,2024-25
Ludovic Ajorque,Brest,FW,2533.0,12.592709366232157,3.065709619782865,2024-25
Mika Biereth,Monaco,FW,1255.0,12.205246433615685,4.793574631214142,2024-25
Evann Guessand,Nice,FW,2609.0,9.78530315682292,6.217509228736162,2024-25
Lucas Stassin,Saint-Etienne,FW,1916.0,8.409047394990921,3.849006508477032,2024-25
Gaetan Laborde,Nice,FW,1845.0,12.51884263381362,5.10445948690176,2024-25
Georges Mikautadze,Lyon,FW,1397.0,11.461006090044975,5.320525930263102,2024-25
Keito Nakamura,Reims,FW,2702.0,9.232945438474417,3.226258029229939,2024-25
Gaetan Perrin,Auxerre,FW,2750.0,6.17701430618763,8.516953714191914,2024-25
Abdoulaye Touré,Le Havre,MF,2347.0,9.38324426021427,0.5837586019188166,2024-25
Hamed Junior Traore,Auxerre,FW,2154.0,7.649552743881941,2.9120337422937155,2024-25
Gonçalo Ramos,Paris Saint Germain,FW,1047.0,16.26604363322258,3.341807436197996,2024-25
Andrey Santos,Strasbourg,MF,2861.0,6.474336503073573,3.321616545319557,2024-25
Adrien Rabiot,Marseille,MF,2476.0,7.286307154223323,3.954880988225341,2024-25
Zuriko Davitashvili,Saint-Etienne,FW,2815.0,8.030895091593266,5.66711307130754,2024-25
