Player,Squad,Pos,Min,xG,xA,season
Lautaro Martínez,Inter,FW,2688.0,19.917103573679924,4.22837570309639,2023-24
Dusan Vlahovic,Juventus,FW,2346.0,18.15998312085867,2.7414223439991474,2023-24
Olivier Giroud,AC Milan,FW,2397.0,15.56334208138287,5.820083811879158,2023-24
Victor Osimhen,Napoli,FW,2015.0,17.077908156439662,3.6298218183219433,2023-24
Albert Gudmundsson,Genoa,FW,3034.0,10.58288561925292,5.503198656253517,2023-24
Hakan Calhanoglu,Inter,MF,2618.0,9.97734544146806,4.402719554491341,2023-24
Romelu Lukaku,Roma,FW,2665.0,11.805389358662069,2.7021777480840683,2023-24
Duván Zapata,"Atalanta,Torino",FW,3036.0,12.924597828648984,3.023106226697564,2023-24
Paulo Dybala,Roma,FW,2011.0,10.748245939612389,5.363411068916321,2023-24
Marcus Thuram,Inter,FW,2750.0,15.489109393209219,4.38146791793406,2023-24
Christian Pulisic,AC Milan,FW,2658.0,8.112775510177016,5.247536565177143,2023-24
Gianluca Scamacca,Atalanta,FW,1445.0,8.273879911750555,3.8059695661067963,2023-24
Nicolás González,Fiorentina,MF,1915.0,10.854810073971748,2.028881089761853,2023-24
Joshua Zirkzee,Bologna,FW,2802.0,9.106743048876524,6.0383808510378,2023-24
Teun Koopmeiners,Atalanta,FW,2641.0,6.477179829031229,6.847522427327931,2023-24
Andrea Pinamonti,Sassuolo,FW,3161.0,10.101071687415242,1.9918804159387946,2023-24
Ademola Lookman,Atalanta,FW,1930.0,11.020978674292564,6.360278395935893,2023-24
Khvicha Kvaratskhelia,Napoli,FW,2774.0,12.988513953983784,6.76034078001976,2023-24
Matìas Soulè Malvano,Frosinone,FW,3173.0,11.002136468887329,6.402062648907304,2023-24
Riccardo Orsolini,Bologna,MF,1795.0,8.406649756245315,5.7234551049768925,2023-24
Charles De Ketelaere,Atalanta,FW,2064.0,7.576863840222359,7.673456937074661,2023-24
Federico Chiesa,Juventus,FW,2220.0,8.021589172072709,7.339922096580267,2023-24
Domenico Berardi,Sassuolo,FW,1448.0,6.615158909931779,3.4691362250596285,2023-24
Milan Djuric,"Monza,Verona",FW,2479.0,7.573165649548173,2.5195388458669186,2023-24
Rafael Leão,AC Milan,FW,2534.0,9.509692578576505,10.24364968854934,2023-24
